title,description,price,status,url,date_public
Ботинки на хлопчика,"Ботинки 30 розмір, купувались у Польщі, носив мало - швидко виріс. Відправлю олх доставкою або самовивіз. На останньому фото видно як підошка мінімально відійшла від ботинка, але то не відірвані.",400,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/botinki-na-hlopchika-IDR8qR5.html?sd=1,Опубліковано Сьогодні о 11:28
Продам комбинезон фирми H&Мдам полукомбинезон,"Продам комбинезон фирми H&М
нет капюшона
стан нового
на 6-7 год
довжина 112 см рукав 42 см пог 47 см шаг 50 см",660,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/prodam-kombinezon-firmi-h-mdam-polukombinezon-IDND2DJ.html?sd=1,Опубліковано Сьогодні о 11:27
McKinley Airtour vt 26,"Продам новий рюкзак McKinley Airtour vt 26  в комплекті накідка від дощу,снігу
Стан новий 5+",1000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/mckinley-airtour-vt-26-IDR8qTM.html?sd=1,Опубліковано Сьогодні о 11:29
Куртка на рост 104,Куртка на рост 104 на синтепоне в идеальном состоянии. Длина 49. Рукав от плеча 41. Пересылаю. Спрашивайте,150,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kurtka-na-rost-104-IDPYbyd.html?sd=1,Опубліковано Сьогодні о 11:29
Куртка курточка демисезонная,Куртка черного цвета. Размер 42-44. Незаменимая вещь для осени. Состояние новой вещи.,75,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kurtka-kurtochka-demisezonnaya-IDw34iC.html?sd=1,Опубліковано Сьогодні о 11:30
Фломастеры для рисования,"Продам новые фломастеры для рисования,все пишут.Пересылаю любой почтой или при встрече в Броварах",50,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/flomastery-dlya-risovaniya-IDOMEgx.html?sd=1,Опубліковано Сьогодні о 11:27
"Боксерський набір Великий L-UA ""Укр.""","Боксерський набір - це не тільки улюблена іграшка кожного хлопчиська, але і реальний тренажер фізичного та емоційного розвитку.

Боксерські груші та рукавички виготовлені зі спеціалізованої штучної шкіри, що мінімізує травматизм кистьових суглобів.
Застосована класична шнурівка продовжує термін служби бокс-снаряда в порівнянні з застібкою-блискавкою.
Наповнення забезпечує середню жорсткість снарядів, яка ідеально підходить для тренування як рук, так і ніг.
Якість і робочі характеристики припускають застосування боксерських наборів у всіх видах єдиноборств.
Комплектація:
- боксерська груша - 1 шт .;
- боксерські рукавички - 1 пара.",479,Бізнес,https://www.olx.ua/d/uk/obyavlenie/bokserskiy-nabr-velikiy-l-ua-ukr-IDPwBYj.html?sd=1,Опубліковано Сьогодні о 11:26
Курточка 86-102 нова,Чесно ми її і непоносили. Бо тримали на вихід. А були постійно на подвірї в старому. Відтінок сіро синій.  Дуже гарна. Без дефектів.  На холодну осінь. Тепла.,155,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kurtochka-86-102-nova-IDPILx8.html?sd=1,Опубліковано Сьогодні о 11:29
"Новый!!! Кенгуру переноска , эрго рюкзак chicco 0+","Продаю свой эрго рюкзак chicco! Нам он просто не зашел. Подходит от 0+
Отправляю олх доставкой или личная встреча в Днепре !",400,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/novyy-kenguru-perenoska-ergo-ryukzak-chicco-0-IDQQBuH.html?sd=1,Опубліковано Сьогодні о 11:26
Реглани розмір 116/122,"1)Реглан перевертиши фірма Zeyrek розмір 116/122 ціна 80
2)Реглан фірми H&M розмір 110/116 ціна 80грн.",80,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/reglani-rozmr-116-122-IDMzk9U.html?sd=1,Опубліковано Сьогодні о 11:31
Жіноча курточка 44 розмір,"Жіноча куртка 42_44 розміру, весна-осінь,стан нової 9/10,на замку,за деталями в повідомлення",200,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/zhnocha-kurtochka-44-rozmr-IDMUBVA.html?sd=1,Опубліковано Сьогодні о 11:31
"Каша для детей Hero/BoboVita /Gerber от 4,5,6 месяцев",Gerber рисовая 454 грамма сроки до 31 марта 2023 со скидкой 130 грн,130,Бізнес,https://www.olx.ua/d/uk/obyavlenie/kasha-dlya-detey-hero-bobovita-gerber-ot-4-5-6-mesyatsev-IDPernc.html?sd=1,Опубліковано Сьогодні о 11:27
Гольфик Tu,"Гольфик Tu, стан нового
Розмір 2-3 рочки
.
Дивіться інші мої оголошення",100,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/golfik-tu-IDR8qQZ.html?sd=1,Опубліковано Сьогодні о 11:28
Детские кроссовки Nike running,"Детские кроссовки Nike running UK 9,5 Eur 27 (16см) Очень мягкие и удобные.",400,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/detskie-krossovki-nike-running-IDR8qTu.html?sd=1,Опубліковано Сьогодні о 11:29
Дитячі кросівки сітка,"кросівки Adidas оригінал з Америки 
розмір 28
на 16.5 см по устілці, по факту 18 см
ціна 1350 грн",1350,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/dityach-krosvki-stka-IDR8qKJ.html?sd=1,Опубліковано Сьогодні о 11:26
Мишка 70 см плюшевый мягкий тедди,Новый мишка с  биркой. За дополнительной информацией звоните или пишите.  Отправка по Украине.,300,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/mishka-70-sm-plyushevyy-myagkiy-teddi-IDO6vC5.html,Опубліковано Сьогодні о 11:29
Чоловічок для хлопчика одяг піжамадля новонародженого немовля 9-12,"Чоловічки для хлопчика в хорошому стані, можна використовувати в якості піжами доя сну, мінімалістичний принт, 9-12 місяців",165,Бізнес,https://www.olx.ua/d/uk/obyavlenie/cholovchok-dlya-hlopchika-odyag-pzhamadlya-novonarodzhenogo-nemovlya-9-12-IDR8qYE.html?sd=1,Опубліковано Сьогодні о 11:31
Дитяче автокрісло,"Продаю автокрісло, в гарному стані, було мало в користуванні.Іде до 13кг,фірма Garello.",1100,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/dityache-avtokrslo-IDR8qTm.html?sd=1,Опубліковано Сьогодні о 11:29
Продам игрушки для малышей,Продам игрушки для малышей цена за все три игрушки пишите отвечу могу переслать вам после оплаты Нова почта и Укрпочта пересылку оплачывает покупатель.,150,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/prodam-igrushki-dlya-malyshey-IDOwzn9.html?sd=1,Опубліковано Сьогодні о 11:27
Ботинки детские,"Ботинки в хорошем состоянии. Легкие, удобные.  Меха в средине нет но можно носить и зимой хорошо удерживает тепло в средине. Стелька 18 см.",400,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/botinki-detskie-IDQkKOu.html?sd=1,Опубліковано Сьогодні о 11:31
Дублёнка детская (подростковая) натуральная. Лот 1,"Дублёнка детская (подростковая) натуральная. Лот 1
Качественная, стильная, тёплая, кожаная дублёнка для девочки-подростка. Полностью натуральная. Смотрится очень классно ! Лёгенькая.
На крючках-застёжках. Размер L
Замеры:
Полуобхват груди — 50см.
Полуобхват талии — 50см.
Полуобхват бёдер — 51см.
Ширина плеч — 42см.
Длина дублёнки — 64см.
Длина рукава от плечевого шва — 57см.
Длина рукава от воротника — 68см.
Замеры сделаны мягким сантиметром в лежащем положении.
Кожа и мех полностью натуральные.
Б/у, в хорошем состоянии, см. фото.

Оплата и доставка: Предоплата. Доставка только по Украине  Новой Почтой.  Доставку оплачивает Покупатель по тарифу перевозчика при получении.",700,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/dublenka-detskaya-podrostkovaya-naturalnaya-lot-1-IDCW3q4.html?sd=1,Опубліковано Сьогодні о 11:30
Машинка перекрут на радіокеруванні stunt car exciter управління рукою,"Машина на радіокеруванні працює від акумулятора, для пульта потрібно докупити батарейки. Є світлові ефекти. Довжина машини 20 см. У наборі машинка, пульт керування, акумулятор, USB заряджання. Колеса машини обертаються на 360 градусів, це дозволяє їй подолати будь-які перешкоди.

Дитяча машинка-перевертень на радіокеруванні підходить для дітей віком від 6-ти років. У підростаючого покоління часто змінюються смаки та уподобання при виборі іграшок, але саме ця модель сподобається всім!

Завдяки незвичайній конструкції передніх коліс перевертень робить різні трюки, обертається на 360 градусів, рухається на всі боки (вперед, назад, праворуч, ліворуч). Має світлові та звукові ефекти.

Ергономічний дизайн, система амортизації, суперміцні матеріали, барвисте, контрастне оформлення – кожна деталь ретельно опрацьована для захоплюючої та тривалої гри.

Характеристики:

Трюкова машинка, трансформується, перевертається/розгортається на 180/360 градусів
Може їздити вперед, назад, праворуч, ліворуч
Максимальна швидкість: 7 км/год
Джерело живлення машинки: 3.7 У 400 мАг
Час їзди: 18 хв
Час зарядки: 3-4 год
Корпус: пластик
Розмір машинки: 22,5 * 18 * 20см
Вага машинки: 320 г
Комплектація:

Машинка
Пульт
Заряджання",799 грн. / за 1 шт.,Бізнес,https://www.olx.ua/d/uk/obyavlenie/mashinka-perekrut-na-radokeruvann-stunt-car-exciter-upravlnnya-rukoyu-IDR8qK0.html?sd=1,Опубліковано Сьогодні о 11:26
Продам комплект одежды,"Продам джинсы фирмы ZARA и кофточку к ним в комплекте. На возраст 2-3 года, бу но в хорошем состоянии. Замеры по запросу.",120,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/prodam-komplekt-odezhdy-IDR8qOy.html?sd=1,Опубліковано Сьогодні о 11:27
Тапулі для перших кроків,"Тапулі дитячі. Підійдуть  для  перших   кроків , нові   18 розмір, ні разу не одіті!",60,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/tapul-dlya-pershih-krokv-IDR8qQO.html?sd=1,Опубліковано Сьогодні о 11:28
MGA Entertainment Glitter Selena Stargazer Глиттер Селена Старгезер,"Возрастная группа:  от 3 лет

БЛЕСТЯЩАЯ КУКЛА: Следуй за искрой на закат, поверни налево у луны, и ты откроешь для себя волшебный мир Блестящей малышки. Glitter Babyz — это блестящие, красивые, волшебные малышки с большими красивыми глазами, блестками на ресницах и блестками в волосах.
КРАСИВАЯ КУКЛА MOON & STARS BABY DOLL: каждый ребенок обладает уникальной индивидуальностью, которая выражается в его стиле. У Селены Старгейзер луны и звезды в глазах, на футболке, на бутылочках и соске.
3 ВОЛШЕБНЫХ ИЗМЕНЕНИЯ ЦВЕТА: (1) Цвет ее волос меняется снова и снова, когда вы даете ей ванну (ванна продается отдельно); (2) Волшебная бутылка шампуня меняет цвет каждый раз, когда вы добавляете ледяную воду; (3) и просто добавляйте ледяную воду в бутылку сока, чтобы каждый раз волшебным образом менять цвет.
ТАК МНОГО СПОСОБОВ ВОСПИТАТЬ: Покажите им всю свою нежную любовную заботу, чтобы сохранить их магию живой и сверкающей. Накормите ее из бутылочки, смените подгузник, искупайте ее (ванна продается отдельно), а затем уложите ее спать.
В КОМПЛЕКТЕ: съемная футболка, многоразовый подгузник, соска, волшебная бутылочка сока, меняющая цвет, волшебная бутылка шампуня, меняющая цвет, блестящий малыш с меняющими цвет волосами.

Доставка:

ОЛХ доставка.
Наложенным платежом НП (Предоплата 200 грн.).
Возможна Доставка курьером (в день заказа). Только Левый Берег (Стоимость курьера 100 грн.)
Самовывоз из отделений НП № 326 (ул. Тростянецкая, 4/2) или № 239 (ул. Тростянецкая, 12) – стоимость услуги около 20 грн. (Предоплата 50 грн.)
Самовывоз от продавца - ориентир пересечение Харьковское шоссе и ул.Тростянецкая

Оригинал, из США. 

На этом же номере телефона есть вайбер, пишите ответим на все вопросы.",1075,Бізнес,https://www.olx.ua/d/uk/obyavlenie/mga-entertainment-glitter-selena-stargazer-glitter-selena-stargezer-IDR8qSS.html?sd=1,Опубліковано Сьогодні о 11:29
Су-до crem expert,"рекомендується для профілактики та застосування при пелюшковому дерматиті
має заспокійливі, протизапальні та антибактеріальні властивості
містить оксид цинку",375,Бізнес,https://www.olx.ua/d/uk/obyavlenie/su-do-crem-expert-IDR8qKQ.html?sd=1,Опубліковано Сьогодні о 11:26
Чоловічок 12 міс.,"Класний чоловічок на худеньку дитину .

.

.

.

.

.

.

.

.

.",100,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/cholovchok-12-ms-IDQQgXo.html?sd=1,Опубліковано Сьогодні о 11:31
"Модель контейнера 1/87 (ж.д. PIKO, H0)","Модель контейнера 1/87 (ж.д. PIKO, H0), высокая детализация, открываются двери, упоры для размещения на платформе.",395,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/model-konteynera-1-87-zh-d-piko-h0-IDKkRMe.html?sd=1,Опубліковано Сьогодні о 11:30
"Теплая жилетка ""Monkler"" (11-12лет.)","Фирменная жилетка золотистого цвета на синтепоне и флисовой подкладке. Очень тёплая, в отличном состоянии, носили мало. Пересылаю. Смотрите другие мои объявления.",80,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/teplaya-zhiletka-monkler-11-12let-IDQALfJ.html?sd=1,Опубліковано Сьогодні о 11:27
