title,description,price,status,url,date_public
"Генератор Matari MX4000E, Япония","Генератор бензиновий Matari MX4000E, Япония. Гарантія до 29.09.2024. З електостартером.",24000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/generator-matari-mx4000e-yaponiya-IDR8rjz.html?sd=1,Опубліковано Сьогодні о 11:39
"Умывальник ,рукомойник","Рукомойник Кий-В автономный с подогревом. Материал корпуса: нержавеющая сталь

Могу быть не на связи,желательно пишите смс.
Отправка новой почтой по частичной или полной предоплате
Рукомойник в Донецкой области",8000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/umyvalnik-rukomoynik-IDQD3Po.html?sd=1,Опубліковано Сьогодні о 11:36
Штори велюр льон двостороння тканина каліфорнія | Відріз пошив готові,"Двостороння Каліфорнія однотонний велюр з однієї сторони, льон — з іншої, за влативостями дуже універсальний. Тканину California використовують для штор та для меблів, м’яка й міцна, ефективно закриває від світла, підходить власникам домашніх улюбленців, “анти коготь”, штори приємні на дотик.

Купити штори льон за гарною ціною (також з пошивом) можна в нашому онлайн магазині. Висота підшивається. Попередньо надсилайте обраний колір та розміри (див гаму кольорів).

Особливості інтернет магазину ШториТут:
- завжди в наявності тканини для штор й тюлі
- відправляємо через 1-2 дні після замовлення
- можна придбати тканину окремо
- відправка Новою Поштою
- працюємо з передплатою (30-50%)

Напишіть нам в ОЛХ або Вайбер, наш менеджер допоможе обрати колір тканини та відповість на додаткові запитання.
Гортайте нижче й перегляньте більше наших оголошень.",550,Бізнес,https://www.olx.ua/d/uk/obyavlenie/shtori-velyur-lon-dvostoronnya-tkanina-kalfornya-vdrz-poshiv-gotov-IDR8rp9.html?sd=1,Опубліковано Сьогодні о 11:41
Степлер Профессиональный Пневматический Ударопрочный Новый Недорого,"Степлер Профессиональный Пневматический Ударопрочный Новый Недорого

Перед заказом Олх Доставки обязательно  свяжитесь с нами для уточнения деталей !

Регулировка силы удара
Ударопрочный корпус
Кольцо фиксатор
Конструкционная сталь
Компактные размеры и легкий вес

Недорогой и профессиональный инструмент!

Степлер профессиональный предназначен для обивочных, ремонтных, строительных работ, а также работ по декорированию с полукруглыми скобами 10-14 мм PREMIUM. Имеет надежный ударопрочный корпус и регулировку контроля силы удара, а также кольцо-фиксатор для компактного хранения.
Штампованный корпус степлера изготовлен из конструкционной стали. Оснащен регуляторным механизмом контроля силы удара. Высота скоб 4–14 мм. Толщина скоб - 0,8 мм.
Используется для крепления листового материала к поверхностям из дерева, ДВП, пластика, гипсокартона и др.

Характеристики:
Крепежное средство: Скобы
Длина скобы: 14 мм
Ширина скобы: 7.5 мм
Минимальная длина скобы: 10 мм
Максимальная длина скобы: 14 мм
Минимальная ширина скобы: 6.2 мм
Максимальная ширина скобы: 7.5 мм
Регулировка силы удара

Комплектация:
Степлер профессиональный
Заводская упаковка
Инструкция

Ждём ваших звонков и сообщений.
С радостью ответим на все ваши вопросы, касательно товара, и поможем с выбором!",300,Бізнес,https://www.olx.ua/d/uk/obyavlenie/stepler-professionalnyy-pnevmaticheskiy-udaroprochnyy-novyy-nedorogo-IDPfKek.html?sd=1,Опубліковано Сьогодні о 11:40
Двері міжкімнатні.,"Продам міжкімнатні двері. З ручкою та петлями (бабочка). Стан на 4/5.  Розмір 2000*800мм.
В наявності -3шт. Також до них є лиштва. Ціна 1200грн /шт.",1200,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/dver-mzhkmnatn-IDR8rki.html,Опубліковано Сьогодні о 11:39
IEK Enext Разное,"Ціна за все 5000 грн, торгу немае.

ENEXT
Рубильник разрывной BP32-37B31250 400А 1 ШТ 1500 ГРН
Светосигнальная арматура e.ad22.230.red Ø22мм 230В АС красная 4 шт 15 грн
Клемма на дин-рейку 6 мм кв, серый, без крышки, Enext p049003 50 шт 5 гр
Скоба заземления E.NEXT 35 p061002 11шт 100 грн
Дифференциальный автомат 2р 25/0,03А E.Next 10kA ( i0230005 ) 3 шт 350 грн
Дифференциальный автомат 2р, 16А C, 30мА (p0620006) 5 шт 250 грн

Контактор 12A 3р А АС 400/660V (I.0090012) 1шт 200грн
Контактор 25А 4р 4NC 220В (p005024) 1шт 450 грн

ЩИТОК ПЛАСТИКОВЫЙ BORSAN НА 1-2 МОДУЛЯ ВНЕШНИЙ BR.820 3 шт 50 грн

Трансформатор тока ТШ-0,66 600/5 1 шт 400 грн
Трансформатор тока ТШ-0,66 400/5 3 шт 350 грн

ЕТI
Цоколь ETI 002473014 ERB4-T тип Т (для ERM4) 10 шт 65 грн

EATON
Дифференциальный автоматический выключатель 20/0,1А, кривая отключения С, 3+N полюсов, 4 кА EATON mRB4-20/3N/C/01-A (120679) 1шт 1500грн

Berker
Розетка без з/к, белая, 16А/250В ARSYS, 6161150002 10 шт 70 грн шт
Розетка без з/к, бронза, 16А/250В ARSYS, 6161140001 10 шт 170 грн шт

IEK

Приставка ПКИ-22 дополнительные контакты 2з+2р IEK 3 шт 50 грн
Автоматичний вимикач IEK ВА47-100 3P 63A 10кА C MVA40-3-063-C 1шт 400 грн
Диференційний автомат IEK АД14 4p 63А (30 mА) IEK (MAD10-4-063-C-030) 1шт 200 грн
Автомат для защиты двигателя ПРК32-2,5 IEK (DMS11-D25) 2шт 500 грн
Автомат для защиты двигателя ПРК32-6,3 IEK (DMS11-D63) 1 шт 500 грн
Кнопка (ABLFP-22) оранжевая Ø22мм неон/220В 1з+1р IEK 10 шт 30 грн",50,Бізнес,https://www.olx.ua/d/uk/obyavlenie/iek-enext-raznoe-IDOVISS.html?sd=1,Опубліковано Сьогодні о 11:38
"Диван ""Линда"" по оптовой цене","Диван ""Линда""

Механизм трансформации: еврокнижка.
Наполнение: пружинный блок боннель, пенополиуретан высокой плотности, несущие элементы каркаса выполнены из натурального дерева, подлокотники декорированы МДФ накладками, бельевой короб, который находится под сиденьем и подлокотниках, декоративные подушки в комплекте. Есть возможность выбора ткани под заказ.

Габариты:
- Длина: 220 см
- Глубина: 98 см
- Спальное место: 145*190 см

Указана минимальная стоимость дивана. На ценообразование влияет тип ткани и наполнение изделия.

Товар можно приобрести в рассрочку, оформить кредит или оплату частями.

Также смотрите другие объявления автора. Более широкий ассортимент мебели на сайте: DAVA.COM.UA

Наши координаты:
Магазин в Одессе 1-км Новомиколаёвськоё дорогы.ТЦ Таврия-В (Суворовский)

Магазины в Николаеве:
- площа Миколи Леонтовича.7 (зупинка автовокзал трамвайна як ёхати у бiк зоопарку за магазином Киёвстар)

Доставку мебели осуществляем по всей Украёнi
Также мы предоставляем услуги:
- Доставка (цену уточняйте)
- Подъём на любой этаж (цену уточняйте)
- Сборка (цену уточняйте)

Акционная цена только для клиентов OLX. При посещении наших магазинов сообщите продавцу о том, что Вы к нам пришли с OLX и Вам просчитают стоимость с максимальной скидкой.

Гарантия от производителя 18 месяцев. Удачных покупок в мебельном магазине DAVA",9500,Бізнес,https://www.olx.ua/d/uk/obyavlenie/divan-linda-po-optovoy-tsene-IDNXf8J.html,Опубліковано Сьогодні о 11:36
Genergy natura 3000/7000 avr генератор газ/бенз,"Якщо нема зв’язку, пишіть в вайбер. В наявності 2шт 3квт і 2шт 7квт. Самовивіз ЖК Комфорттаун. 

Генератор бензин - газ GENERGY NATURA 3000 3/2,6 кВт – однофазна 230 В газово-бензинова електростанція для забезпечення електроенергією побутових електроприладів, будівельного інструменту тощо. Модель може використовуватися у якості основного або резервного джерела живлення. Максимальна потужність генератора – 3 кВт (при використанні палива – бензин) та 2,6 кВт (при використанні палива – пропан). Номінальна потужність (максимально допустима потужність для тривалих навантажень) – 2,7 кВт (бензин) та 2,3 кВт (пропан).

Особливості генератора Дженерджі NATURA 3000 3 кВт:

Модель отримала двигун професійного класу GENERGY SGE65E чотиритактний, з верхнім розташуванням клапанів, повітряним охолодженням ємністю 196 см3. Об'єм оливи – 0,6 л.
Автоматичне відключення при низькому рівні масла. Захист від перевантаження переривником.
Альтернатор зі 100% мідною обмоткою має тривалий термін служби, має високу стійкість до перевантажень, перегріву.
Електронне регулювання напруги AVR - забезпечує на виході струм без стрибків, що сприяє тривалому терміну служби електроприладів, що підключаються.
Легкий ручний запуск та простий електрозапуск Push ST (при натисканні кнопки). Акумулятор входить до комплекту постачання.
Можливість зміни виду палива бензин або газ пропан без зупинки двигуна – за допомогою важеля вибору палива «SDS Tech».
Наявність вбудованого регулятора подачі пропану.
Модель отримала ємний паливний бак на 12 л.
Залежно від рівня навантаженості генератора залежить споживання. Для даної електростанції показники такі:

- при навантаженні 25% споживання бензину – 0,8 л/год.

- при навантаженні 50% споживання бензину – 1 л/год.

- при навантаженні 75% споживання бензину – 1,2 л/год.


- при навантаженні 25% споживання пропану – 0,5 к/год.

- при навантаженні 50% споживання пропану – 0,65 к/год.

- при навантаженні 75% споживання пропану – 0,8 к/год.

На панелі управління знаходяться: дисплей, який повідомляє користувачу про напругу вихідного струму, частоту і мотогодини; 2 розетки 230 В.
Рама трубчаста, діаметром 30 мм, разом зі збільшеним сайлентблоком, забезпечує захист двигуна, альтернатора, а також спрощує процес переміщення генератора.
Наявність транспортувального комплекту: складна ручка з м'якою пластиковою накладкою, а також два 8-дюймові колеса.
Рівень шуму: 96 дБ, на відстані 7 м цей показник – 71 дБ.
Габарити без урахування коліс: 590х470х440 мм. Габарити з урахуванням коліс: 620х600х520 мм.
Маса – 57 кг.
Країна-виробник: Іспанія.
Країна бренду: Іспанія.",30500,Бізнес,https://www.olx.ua/d/uk/obyavlenie/genergy-natura-3000-7000-avr-generator-gaz-benz-IDQYoRV.html,Опубліковано Сьогодні о 11:39
Жалюзи вертикальные рулонные шторы тканевые ролеты,"Жалюзи вертикальные, горизонтальные.  Тканевые ролеты. Рулонные шторы. Изготовление. Замер. Доставка. Монтаж. Сервис. Гарантия.
 299грн. м.кв. изготовление 2 - 4 дня. Днепр. Геннадий 06*********29.",299,Бізнес,https://www.olx.ua/d/uk/obyavlenie/zhalyuzi-vertikalnye-rulonnye-shtory-tkanevye-rolety-IDDyIdM.html?sd=1,Опубліковано Сьогодні о 11:39
IEK Enext Разное,"Ціна за все 5000 грн, торгу немае.

ENEXT
Рубильник разрывной BP32-37B31250 400А 1 ШТ 1500 ГРН
Светосигнальная арматура e.ad22.230.red Ø22мм 230В АС красная 4 шт 15 грн
Клемма на дин-рейку 6 мм кв, серый, без крышки, Enext p049003 50 шт 5 гр
Скоба заземления E.NEXT 35 p061002 11шт 100 грн
Дифференциальный автомат 2р 25/0,03А E.Next 10kA ( i0230005 ) 3 шт 350 грн
Дифференциальный автомат 2р, 16А C, 30мА (p0620006) 5 шт 250 грн

Контактор 12A 3р А АС 400/660V (I.0090012) 1шт 200грн
Контактор 25А 4р 4NC 220В (p005024) 1шт 450 грн

ЩИТОК ПЛАСТИКОВЫЙ BORSAN НА 1-2 МОДУЛЯ ВНЕШНИЙ BR.820 3 шт 50 грн

Трансформатор тока ТШ-0,66 600/5 1 шт 400 грн
Трансформатор тока ТШ-0,66 400/5 3 шт 350 грн

ЕТI
Цоколь ETI 002473014 ERB4-T тип Т (для ERM4) 10 шт 65 грн

EATON
Дифференциальный автоматический выключатель 20/0,1А, кривая отключения С, 3+N полюсов, 4 кА EATON mRB4-20/3N/C/01-A (120679) 1шт 1500грн

Berker
Розетка без з/к, белая, 16А/250В ARSYS, 6161150002 10 шт 70 грн шт
Розетка без з/к, бронза, 16А/250В ARSYS, 6161140001 10 шт 170 грн шт

IEK

Приставка ПКИ-22 дополнительные контакты 2з+2р IEK 3 шт 50 грн
Автоматичний вимикач IEK ВА47-100 3P 63A 10кА C MVA40-3-063-C 1шт 400 грн
Диференційний автомат IEK АД14 4p 63А (30 mА) IEK (MAD10-4-063-C-030) 1шт 200 грн
Автомат для защиты двигателя ПРК32-2,5 IEK (DMS11-D25) 2шт 500 грн
Автомат для защиты двигателя ПРК32-6,3 IEK (DMS11-D63) 1 шт 500 грн
Кнопка (ABLFP-22) оранжевая Ø22мм неон/220В 1з+1р IEK 10 шт 30 грн",50,Бізнес,https://www.olx.ua/d/uk/obyavlenie/iek-enext-raznoe-IDOVISS.html?sd=1,Опубліковано Сьогодні о 11:38
"Изготовление лофт мебели для магазинов,баров,кафе,ресторанов,квартир и","Изготовление лофт мебели для магазинов,баров,кафе,ресторанов,квартир и домов. 
Выполним заказ индивидуально под ваше помещение и вашу идею.
- выезд на замеры;
- быстрый просчёт заказа;
- очень быстрые сроки изготовления.
Также изготовление любой металлоконструкции. 
06******49
06******49
https://www.facebook.com/groups/1247783492632134/?ref=share",None,Бізнес,https://www.olx.ua/d/uk/obyavlenie/izgotovlenie-loft-mebeli-dlya-magazinov-barov-kafe-restoranov-kvartir-i-IDP7TPs.html,Опубліковано Сьогодні о 11:37
Коврики Выходные для комнаты опт,"Находимся в Турции

Отправка по всему миру

НОВЫЙ ОВАЛЬНЫЙ КОВРИК

 Цена; 16$ 

Размер; 100x160см
Производство Турция
 минималный заказ 30кг можно выбрать разные модели по штучно 
для заказа пишите 

Whatsapp
+905368588288",640,Бізнес,https://www.olx.ua/d/uk/obyavlenie/kovriki-vyhodnye-dlya-komnaty-opt-IDR8rke.html?sd=1,Опубліковано Сьогодні о 11:39
"Оригинал! Переключатель 1-0-2 на генератор 40А 3 полюса, SSQ 340 ETI","Продам новые оригинальные Переключатели 1-0-2 на генератор 40А 3 полюса, SSQ 340 ETI 2421435, в использовании не были. В наличии 4шт.
Производитель: ETI
Номинальный ток (А) 40 А
Количество полюсов (фаз)3 полюса (3 фазы)
Количество модулей: 3 модуля
Вид переключения: Ручное
Переключение под нагрузкой: Не допускается
Видимый разрыв: Нет
Возможность блокировки: Есть
Степень пылевлагозащиты IP: IP20
Страна регистрации бренда: Словения
Страна происхождения продукта: Словения",2199,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/original-pereklyuchatel-1-0-2-na-generator-40a-3-polyusa-ssq-340-eti-IDQALP5.html?sd=1,Опубліковано Сьогодні о 11:41
"Точечный светильник,","Точечный светильник новый 2 шт. Пересылаю новою Почтой, укр почтой. Самовывоз Черкассы. Цена за 1 шт.",600,Бізнес,https://www.olx.ua/d/uk/obyavlenie/tochechnyy-svetilnik-IDQqWQX.html?sd=1,Опубліковано Сьогодні о 11:36
Люстра светильник,"Продается симпатичная люстра, отличное состояние, висела в кухне. Любые вопросы , замеры, пишите сюда или вайбер ватсап. Яна.",550,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/lyustra-svetilnik-IDPx6sy.html?sd=1,Опубліковано Сьогодні о 11:40
