title,description,price,status,url,date_public
Ищу удалённую работу .,"Ищу удаленную работу в интернете или на неполный рабочий день на дому , за ПК, скоросной интернет. Продажа товаров в соцсетях. Писать в личку.",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/ischu-udalennuyu-rabotu-IDQt4pC.html,Опубліковано Сьогодні о 09:59
Обувь 39 размера,"Добрый день! Если кто-то может помочь с обувью 39 размера даже б/у (туфли, кеды, кроссовки, ботинки) буду очень благодарен, так как мне подобрать мужскую обувь такого размера очень сложно. Может у кого-то, например, ребёнок вырос и обувь такого размера уже никому не нужна. Мне может подойти даже 38 размер разношенный. Лишь бы обувь была неузкая.",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/obuv-39-razmera-IDPwZ3z.html,Опубліковано Сьогодні о 10:56
"Психолог, допомога","Я поруч!! Звертайтесь вирішимо стреси, панічні атаки, допоможу дитині, родині чи особисто.
Я психолог:
Дитячий,кризовий, сімейний.
Пишіть вайбер, телеграм. Чекаю на вас і ми з усім впораємося!!",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/psiholog-dopomoga-IDPccnQ.html,Опубліковано Сьогодні о 06:17
"Утеряны документы, ищу паспорт и водительские права","Продолжаю искать утерянные документы паспорт (ID-карту) и водительские права на ФИО: 
Г*** Вячеслав Николаевич.
Документы были утеряны осенью в районе рефдепо г.Таврийск, Херсонской области.
Не теряю надежды, что всё -таки кто-то их найдет и свяжется со мной.
С моей стороны вознаграждение гарантировано!

P.S. В целях безопасности фамилию не указываю в объявлении, лишь заглавную букву.",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/uteryany-dokumenty-ischu-pasport-i-voditelskie-prava-IDQPxuA.html,Опубліковано 24 лютого 2023 р.
Сниму квартиру 2_х комнатную,Семья снимет 2_х комнатную квартиру на длительный срок можно без бойлера . Стиральная машина и холодильник обязательно В Саксаганском районе желательно в близи 91 гимназии. Оплата коммунальных услуг и хозяину за проживание (звоните договоримся),Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/snimu-kvartiru-2-h-komnatnuyu-IDR8jyB.html,Опубліковано Сьогодні о 08:45
віддам безкоштовно наножники для боїв,"віддам безкоштовно захист для ніг для боїв рукопашних
фірма ЕВЕРЛАСТ ,в гарному стані 
м.Вінниця",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/vddam-bezkoshtovno-nanozhniki-dlya-bov-IDR8hzF.html,Опубліковано Сьогодні о 07:20
Жіночі чоботи безкоштовно,Віддам жіночі чоботи на тракторній пологів. Ще можуть прослужити. Стан на фото. Розмір 39,Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/zhnoch-choboti-bezkoshtovno-IDQPHXn.html,Опубліковано Сьогодні о 11:30
"Фінголімод-Віста, Абаджіо - Терифлуномид, Бетфер 1 а плюс","Маю в наявності Фінголімод Віста 21 капсула, термін придатності до 09/2023.
Та Абаджіо (терифлуномід), 28 таблеток, термін придатності до 07/2023
Бетфер 1а плюс, термін придатності до 01/2024

Пишіть, домовимось",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/fngolmod-vsta-abadzho-teriflunomid-betfer-1-a-plyus-IDR0VYF.html,Опубліковано Сьогодні о 10:31
ВПО Ищу работу любую срочно,"Для себя ищю срочно работу или разовую подработку. Мастер универсал электрика, сантехника, отделка, плитка на пол, хозяйственные работы по участку. Монтаж наружной рекламы или уборка по дому. Завхоз. Небольшие мебельные работы. Мастер на все руки. Есть свой ручной инструмент и паяльник для труб ПВХ. Устанавливаю видео наблюдение. Ищю работу разнорабочего или подсобника мастеру. Подсобника фасадчика. Монтажные и демонтажные работы. Работу в сетевом маркетинге и прочих лохотронах не рассматриваю. Нужна срочно нормальная работа желательно с ежедневной или еженедельной оплатой. Район не имеет значения, могу проживать на объекте.",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/vpo-ischu-rabotu-lyubuyu-srochno-IDR8iGr.html,Опубліковано Сьогодні о 08:09
лекарства остатки- медицинские препараты сроки хорошие. Остались лишни,лекарства остатки- медицинские препараты сроки хорошие. Остались лишние после назначения врача.,Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/lekarstva-ostatki-meditsinskie-preparaty-sroki-horoshie-ostalis-lishni-IDQPyVm.html,Опубліковано Сьогодні о 03:20
