title,description,price,status,url,date_public
Разборка ноутбуков,"Есть огромное количество ноутбуков на разборе, список не полный.

Есть в наличии матрицы на многие модели ноутбуков.

По всем интересующим вопросам просьба писать на olx либо в мессенджеры.

Alienware 17 R3

Clevo P177SM-A

Clevo P670SA

Asus T100

Asus X200L

Lenovo Z580",2000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/razborka-noutbukov-IDKbqqP.html?sd=1,Опубліковано Сьогодні о 11:39
"HpModel 17/Экран 17.3""/Intel Core i3 1115G4cpu4.10 GHz/Ram 8 gb/ssd256","Интернет магазин Odin.kiev.ua
Большой выбор Ноутбуков
Гарантия .

HpLaptop Model 17
Отличное Состояние

Windows 10 /// Office 2016 /// Драйвера программы установлены

Мощный Ноутбук под любые задачи
Процессор 4 потока
Turbo Boost
Intel Core i3 1115G4cpu4.10 GHz
Intel Core i3 1115G4cpu4.10 GHz
Intel Core i3 1115G4cpu4.10 GHz
Intel Core i3 1115G4cpu4.10 GHz

Ram 8 gb DDR 4

Видеокарта

Intel UHD Graphics

Экран 17.3"" 1600 x 900

SSD 256 GB

Батарея до 8 ч автономной работы

Veb Cam Wi Fi HDMI USB 3.0

Комплект ( Ноутбук Зарядка Батарея Коробка Документы )",16500,Бізнес,https://www.olx.ua/d/uk/obyavlenie/hpmodel-17-ekran-17-3-intel-core-i3-1115g4cpu4-10-ghz-ram-8-gb-ssd256-IDPEZbC.html?sd=1,Опубліковано Сьогодні о 11:40
Apple AirPods 3 | New | MME73 | в Ябко Калуш,"Магазин Ябко пропонує нові Apple Airpods 3 MME73

Надається гарантія до 2 років.

ОПЛАТА ЧАСТИНАМИ від Монобанку, Приват банку, А-Банку

Можлива купівля в розстрочку та кредитування від банків партнерів : АльфаБанк 

Великий асортимент аксесуарів, оригінальних та сторонніх виробників.

Також можливий обмін Вашої техніки Apple з доплатою та оформлення безвідсокових кредитів на різні терміни. За детальною інформацією звертайтесь до магазину або телефонуйте за вказаним номером.

Картка постійного клієнта
Перенесення інформації
Налаштування пристрою

Чекаємо на вас в магазині Ябко, за адресою:
просп. Лесі Українки,15А
Працюємо Пн-НД 10:00 до 18:00",7363,Бізнес,https://www.olx.ua/d/uk/obyavlenie/apple-airpods-3-new-mme73-v-yabko-kalush-IDOp1Kv.html?sd=1,Опубліковано Сьогодні о 11:40
"HP 4540s i5(4ядра)/12 GB/240 SSD/Wot/без предоплаты/батарея 4ч, торг","Отправка без предоплаты - оплата в отделении Новая Почта после осмотра.
Дисплей: 15.6” (1366*768) HD матовый
Процессор: Intel Core i5-3230M 2.60 GHz 4 ядра
Видеокарта: Intel HD Graphics 4000, танки идут 40-60фпс
ОЗУ: 12 GB DDR3
SSD: 240 GB новый, на гарантии 3 года
Порты: USB 3.0/2.0, RJ-45, Headphone/microphone combo jack, Memory Card Reader, Lan, Wi-Fi, DVD, VGA, HDMI
ОС: Windows 10 оригинальная с сайта Майкрософт.
Программное обеспечение: MS Office (Word, Excel и тд), необходимые драйвера, антивирус, плееры, кодеки, Chrome.
Батарея: держит примерно 3-4ч. в зависимости от нагрузки
Комплектация: ноутбук, зарядное устройство.
Все работает, проблем нет.
Если требуется, могу подарить новую мышку.
Могу отправить почтой без предоплаты.
Полное название: Ноутбук HP Probook 4540s
Вы также можете посмотреть мои другие ноутбуки, нажав на мое имя.",8500,Бізнес,https://www.olx.ua/d/uk/obyavlenie/hp-4540s-i54yadra-12-gb-240-ssd-wot-bez-predoplaty-batareya-4ch-torg-IDR64ah.html?sd=1,Опубліковано Сьогодні о 11:41
Стедикам Snoppa ATOM Black,"Складаний 3-х осьовий стабілізатор для мобільних телефонів, який легко поміщається в кишеню і має повний функціонал, що перевершує конкурентів.

Основні особливості: складна конструкція, портативність, швидкість кріплення та балансування, наявність бездротової зарядки, а також можливість підзарядки за допомогою зарядного кабелю USB, робоче навантаження до 310 г, вхід для зовнішнього мікрофона, перемикання режимів за допомогою хард кнопок на ручці, керування зумом та фокусом.",3333,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/stedikam-snoppa-atom-black-IDR1Z0U.html?sd=1,Опубліковано Сьогодні о 11:36
Стилус Pony Универсальный,"Стилус Pony Универсальный
Новый
С запасным наконечником и чехлом в комплекте.
Отправлю любой почтой",1000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/stilus-pony-universalnyy-IDQP1Bj.html?sd=1,Опубліковано Сьогодні о 11:40
"Электродвигатель к Блендеру Smoothie Maker Смузи Мейкер, Акробат","Электродвигатель к Блендеру Smoothie Maker Смузи Мейкер, Акробат
Проверить нет возможности, но был рабочий.
Bradex
Потребляемая мощность
300 Вт
Материал корпуса
Пластик
Тип управления
Механическое
Тип блендера
Стационарный",199,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/elektrodvigatel-k-blenderu-smoothie-maker-smuzi-meyker-akrobat-IDQPIO3.html?sd=1,Опубліковано Сьогодні о 11:40
"Жесткие диски HDD 3.5"" для ПК 320 ГБ (7200rpm 16MB)","Продам б/у жесткие диски 3.5"" для ПК. HDD протестированы, в отличном состоянии - скриншоты смарта и теста поверхности прилагаются.

1. Seagate-Maxtor DiamondMax 23 320GB 7200rpm 16MB STM3320418AS 3.5 SATA II -- 1300
2. Hitachi Deskstar 7K1000.B 320GB 7200rpm 16MB HDT721032SLA360 3.5 SATA II -- 1300

ТОЛЬКО ЛУГАНСК. ОБМЕН НЕ ПРЕДЛАГАТЬ.",850,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/zhestkie-diski-hdd-3-5-dlya-pk-320-gb-7200rpm-16mb-IDNa3Lk.html?sd=1,Опубліковано Сьогодні о 11:41
Аккумулятор Videx литий-ионный 18650 (без защиты) 3400mAh  АКБ 3.7V,"В НАЛИЧИИ !!! Отправка : наложкой, олх доставкой или оплата на карту.

Длина акб 6.5см. Без защиты 

Аккумулятор Videx литий-ионный 16340 (без защиты) 800mAh bulk = 150 грн
Аккумулятор Videx литий-ионный 18650 (без защиты) 3000mAh bulk = 225грн
Аккумулятор Videx литий-ионный 18650 (без защиты) 3000mAh bulk = 250грн
Аккумулятор Videx литий-ионный 18650-P (защита) 2800mAh color box=300грн
Аккумулятор Videx литий-ионный 18650 (без защиты) 3400mAh bulk =350грн
Аккумулятор Videx литий-ионный 18650-P (защита) 3400mAh color box=435грн
Аккумулятор Videx литий-ионный 21700 (без защиты) 4000mAh bulk =400грн
Аккумулятор Videx литий-ионный 26650 (без защиты) 5000mAh bulk = 550грн

Перезаряжаемые литий-ионные аккумуляторы предназначены для питания устройств с высоким энергопотреблением (фонари, беспроводные электрические инструменты, медицинские приборы, как элемент в переносных зарядных устройствах и в аккумуляторных батареях ноутбуков, малогабаритные транспортные средства).

Категория:Аккумуляторы литий-ионные
Напряжение:3.7 V
Максимальный заряд, mA:3400
Ёмкость батарейки, мА-час:3400
Размеры:D18mm-H65mm",350,Бізнес,https://www.olx.ua/d/uk/obyavlenie/akkumulyator-videx-litiy-ionnyy-18650-bez-zaschity-3400mah-akb-3-7v-IDQ2pnu.html?sd=1,Опубліковано Сьогодні о 11:40
Спутниковый ресивер GI HD Mini,"Ресивер новый, был подключен и проверен, но не использовался, предпочтение было инету, идеальный",1200,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/sputnikovyy-resiver-gi-hd-mini-IDR8rnN.html?sd=1,Опубліковано Сьогодні о 11:40
