title,description,price,status,url,date_public
Булави Pastorelli 36 см,"Булави гімнастичні Pastorelli, майже нові бо були постійно обмотані захисною плівкою, використовувались кілька місяців.",600,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/bulavi-pastorelli-36-sm-IDQB1Cy.html?sd=1,Опубліковано Сьогодні о 11:46
Oxford wordpower dictionary 3th edition,"Словарь новый,есть только подпись ребенка.Без CD",200,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/oxford-wordpower-dictionary-3th-edition-IDEuDaX.html?sd=1,Опубліковано Сьогодні о 11:42
Уникальное антикварное Евангелие,Евангелие написано на давнорусском и давно словянском год издания 1917 твёрдый переплёт.  Доп. Фото по вайберу.,5000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/unikalnoe-antikvarnoe-evangelie-IDrQcIs.html?sd=1,Опубліковано Сьогодні о 11:42
Атлас відкрий для себе дива світу,Цікавий атлас з яскравими малюнками. Ціна 100 грн.,100,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/atlas-vdkriy-dlya-sebe-diva-svtu-IDR8rz6.html?sd=1,Опубліковано Сьогодні о 11:44
Атлас відкрий для себе дива світу,Цікавий атлас з яскравими малюнками. Ціна 100 грн.,100,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/atlas-vdkriy-dlya-sebe-diva-svtu-IDR8rz6.html?sd=1,Опубліковано Сьогодні о 11:44
Книги Лермонтова,"Продам колекцію книг Лермонтова. Книги дуже старі, дефектів немає. Якщо потрібні допоміжні фото пишіть. Ціна договірна. Олх доставка.",60,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/knigi-lermontova-IDQALYj.html?sd=1,Опубліковано Сьогодні о 11:45
"Газовая портативная плитка, горелка переносная","Есть в наличии .Полезный прибор, для тех, кто собирается  в поход, на охоту, рыбалку или любит активный отдых в экстремальных условиях. Является самой легкой плиткой в своем классе. Плитка в первую очередь предназначена для приготовления и разогрева еды, а также для кипячения жидкостей, поэтому, температуры горения, которую может выдать прибор (до 500 oС)

Походная газовая плита с экономным расходом газа, одного стандартного баллона хватает на 3 часа работы в среднем режиме горения.

Портативная газовая плитка оснащена системой предохранения утечки газа, автоматическим розжигом и цельнолитой горелкой.

Одного маленького баллончика с легкостью хватает для того, что бы приготовить уху и пожарить рыбу. Плитка укомплектована удобным кейсом для транспортировки.

Особенности:

Очень компактные габариты;
Весит меньше, чем полкилограмма — 470 г ;
Работает от универсального цангового баллона;
Пьезоэлектрический поджиг;
Экономична;

Газовая Портативная Плита :

Для дачи
Кемпинга  Пикника   
Рыбалки  
Характеристики и описание:

Новый уровень безопасности 
Экономичное потребление газа 100г /час
Высокая тепловая мощность 2800Вт 
Покрытие из специальной эмали
Защита от ветра
Комплектация :

Газовая горелка примус
Чехол
Инструкция
Заводская упаковка",399,Бізнес,https://www.olx.ua/d/uk/obyavlenie/gazovaya-portativnaya-plitka-gorelka-perenosnaya-IDQ9Ry2.html?sd=1,Опубліковано Сьогодні о 11:44
Рюкзак тактический/туристический/военный 45л,"ЦВЕТ В НАЛИЧИИ- ЧЕРНЫЙ, ЗЕЛЕНЫЙ(ОЛИВА), ПИКСЕЛЬ

Тактический рюкзак отлично подходит для военных, охоты, рыбалки, туристических походов, скалолазания, путешествий и спорта.
Рюкзак выполнен из прочной влагозащитной синтетической ткани Oxford 600D. Эргономика рюкзака и применяемые материалы позволяют сохранять его форму вне зависимости от загрузки. Удобное и надежное крепление ремней и лямок способствует надежной фиксации рюкзака на спине и комфортному его использованию даже при необходимости быстро передвигаться.

Особенности рюкзака:
- эргономичные, мягкие плечевые ремни с D-кольцами;
- крепления для дополнительных приспособлений (система MOLLE);
- пояс, регулируемый по длине, снабженный застежкой фастекс;
- прочные стропы;
- уплотненный мягкий слой для уменьшения нагрузки на позвоночник
- размер 483125 
Характеристики материала Oxford 600D:
- водонепроницаемость и водоотталкивающие свойства;
- износостойкость;
- грязеустойчивость;
- термоустойчивость – материал способен сохранять свои свойства при диапазоне температур от — 50 (морозоустойчивость) до +110 (теплоустойчивость);
- высокая прочность;
- повышенная устойчивость к истиранию нитей;
- простота ухода.

Рюкзак объемом 45 это компактный вместительный рюкзак для трехдневных выходов (3-Day Assault Back Pack) и идеально подходит как для полевых, так и для городских условий. 

- Размер: 48*31*25.
- Объем: 45 л.

Отправка по Украине через услугу OLX ДОСТАВКА либо по предоплате (150 грн) или полной, наложенного платежа в чистом виде нет.
САМОВЫВОЗА НЕТ!",600,Бізнес,https://www.olx.ua/d/uk/obyavlenie/ryukzak-takticheskiy-turisticheskiy-voennyy-45l-IDQJmb3.html?sd=1,Опубліковано Сьогодні о 11:44
Передплата Megogo Максимальна,"• Ласкаво просимо до нашого сервісу •
Ми займаємося сімейними підписками починаючи с 2019 року та підключаємо до Megogo, Netflix, YouTube Premium та Spotify

Наші переваги:
• Працюємо щодня з 12:00 - 22:00 •
•• Оплата після підключення та перевірки ••
Відгуки про нас - t.me/+e5IxuPlEVilmYzcy

Вартість наших послуг :
• MEGOGO МАКСИМАЛЬНИЙ ПАКЕТ З ФУТБОЛОМ БЕЗ ЛІМІТУ НА ПЕРЕГЛЯД МАТЧУ
- 1 місяць: 90 ₴
- 6 місяців: 300 ₴
- 12 місяців : 400 ₴

• NETFLIX ОСОБИСТИЙ ПРОФІЛЬ ТА ПІНКОД. БЕЗ ЛІМІТУ НА ПЕРЕГЛЯД КОНТЕНТУ З УКР або РУС МОВОЮ ІНТЕРФЕЙСУ
- 1 місяць: 120 ₴ (1 пристрій)
- 6 місяців: 700 ₴ (1 пристрій)
- 12 місяців: 1200 ₴ (1 пристрій)

• YOUTUBE PREMIUM + MUSIC НА ВАШ ОСОБИСТИЙ АККАУНТ. БЕЗ ВПН ТА ВИДАЧІ ДАННИХ АДМІНІСТРАТОРУ
- 1 місяць - 60 ₴ (1 обліковий запис, без обмежень на пристрої)
- 6 місяців - 350 ₴ (1 обліковий запис, без обмежень на пристрої)
- 12 місяців - 600 ₴ (1 обліковий запис, без обмежень на пристрої)

• За підключенням або уточненням умов пишіть в OLX або TELEGRAM -
Мій профіль в телеграмі - t.me/depdb
Відгуки про нас - t.me/+e5IxuPlEVilmYzcy",70,Бізнес,https://www.olx.ua/d/uk/obyavlenie/peredplata-megogo-maksimalna-IDOnjEv.html?sd=1,Опубліковано Сьогодні о 11:44
"Aspekte Neu B1+, B2, КНИГА+ЗОШИТ","Для замовлення:

Viber - 68100838три - Aнна Bookprint
Viber - 97981035нуль - Aнна Bookprint
INSTAGRAM bookprint_anna

Здійснюємо якісний друк відомої серії підручників Aspekte Neu B1+, B2.

Пропонуємо типографічний, професійний, офсетний друк, який стійкий до води та вологи. Сторінки у нас насичені кольором, не просвітлюються та не вигоряють при тривалому користуванні.

Оригінальні фото можу надіслати на Viber, тому що сайт стискає фото і якість втрачається.

Ціна вказана за комплект (книжка та робочий зошит). Можна окремо купити книгу або зошит.

Книги нові, виготовляються при замовленні. Кольоровий, водостійкий друк.

ВАРТІСТЬ КОМПЛЕКТІВ ПРОКЛЕЄНИХ (ВИГЛЯД ЯК В ОРИГІНАЛІ) - 260 ГРН.

ВАРТІСТЬ КОМПЛЕКТІВ ПІДШИТИХ НА МЕТАЛЕВУ ПРУЖИНУ +‎ ЛАМІНОВАНА ОБКЛАДИНКА - 270 ГРН.

ВАРТІСТЬ КОМПЛЕКТІВ ПІДШИТИХ НА ПЛАСТИКОВУ ПРУЖИНУ +‎ ЛАМІНОВАНА ОБКЛАДИНКА - 280 ГРН.

Ціна в оголошенні вказана зі знижкою для оптових замовлень. У зв’язку з навантаженням ми не приймаємо замовлення на олх доставку.

У НАС ДІЄ ЗНИЖКА ДЛЯ ОПТОВИХ ЗАМОВЛЕНЬ:
від 10 однакових комплектів – 5 грн. з комплекту;
від 20 однакових комплектів – 10 грн. з комплекту;
від 10 однакових книг/зошитів – 5 грн. з книги/зошита.

Доступний накладний платіж. На рахунок оптових замовлень про передоплату просимо уточнювати у менеджерів. Можлива також доставка Укрпоштою за умови 100% передоплати.

Якщо замовлення оптове - велике прохання уточнювати терміни виготовлення та відправки.",250,Бізнес,https://www.olx.ua/d/uk/obyavlenie/aspekte-neu-b1-b2-kniga-zoshit-IDOhZMX.html?sd=1,Опубліковано Сьогодні о 11:44
