title,description,price,status,url,date_public
Земельна ділянка,"Продається земельна ділянка площею 0.0931 га (931 кв.м.) за адресою: Закарпатська область, Хустський район, с. Іза, вул. Раковського",3500,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/zemelna-dlyanka-IDR8r8T.html,Опубліковано Сьогодні о 11:35
Продаж будинка від власника 85кв.м. Центр 2км,"Продаж будинку(коробка) від власника 85кв.м. 
Центр 2км.
Земельна ділянка 5соток
3 кімнати (є можливість переробити 4)",24000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/prodazh-budinka-vd-vlasnika-85kv-m-tsentr-2km-IDQU2ws.html,Опубліковано Сьогодні о 11:32
"Продаж 3к квартири просп. Петра Григоренка, 11А","Продається чудова  3-кімнатна квартира на вул. Григоренка 11а
 -  повністю укомплектована з меблями і технікою. 
 - Перший поверх, два балкона, під одним з балконів цивільний підвал",110000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/prodazh-3k-kvartiri-prosp-petra-grigorenka-11a-IDR8r11.html,Опубліковано Сьогодні о 11:32
3х комн квартира с террасой и видом на море 32 Жемчужина,"3х комн квартира , ЖК 32 Жемчужина
ул. Каманина, Аркадия
2 комнаты с выходом на террасу и видом на море
Кухня и ещё одна комната с видом во двор
Два санузла

Закрытый двор, подземный паркинг, видеонаблюдение
На территории комплекса магазины, салоны, кафе, детские и спорт площадки, школа, детский сад, новая почта
Свой выход в парк Юность
Море и Аркадия в 5 мин ходьбы

По всем вопросам - звоните!",151760,Бізнес,https://www.olx.ua/d/uk/obyavlenie/3h-komn-kvartira-s-terrasoy-i-vidom-na-more-32-zhemchuzhina-IDQYWeS.html,Опубліковано Сьогодні о 11:28
Оренда Комерція м. Обухів прохідне місце,"Оренда Комерція м. Обухів р-н Школа 
Приміщення під Бізнес 
ПАНОРАМНІ ВІКНА.

Прохідне місце. Вдала Локація. Поряд зупинки. Ранковий ринок. Магазини. Маркети. Пекарні. Аптеки. 

Площа: 20м2-20м2-25м2-60м2-60м2-120м2 
Поверхи: 2-2-2-3-3-4

На 4 поверсі можливе проживання з Особистим С/В + Душова.

ПРИЗНАЧЕННЯ приміщень під:
Офіс
Нотаріус
Юрист
Магазин
Текстиль
Швейна майстерня
Школа /Гуртки
Салон краси
Перукарня
Масажний кабінет
Стоматологія
ЗооМагазин
ЗооКлініка

Ціна: 200грн.-300грн. м2 + КП
Телефонуйте підберемо.",6000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/orenda-komertsya-m-obuhv-prohdne-mstse-IDQPIdn.html,Опубліковано Сьогодні о 11:25
Оренда Комерція м. Обухів прохідне місце,"Оренда Комерція м. Обухів р-н Школа 
Приміщення під Бізнес 
ПАНОРАМНІ ВІКНА.

Прохідне місце. Вдала Локація. Поряд зупинки. Ранковий ринок. Магазини. Маркети. Пекарні. Аптеки. 

Площа: 20м2-20м2-25м2-60м2-60м2-120м2 
Поверхи: 2-2-2-3-3-4

На 4 поверсі можливе проживання з Особистим С/В + Душова.

ПРИЗНАЧЕННЯ приміщень під:
Офіс
Нотаріус
Юрист
Магазин
Текстиль
Швейна майстерня
Школа /Гуртки
Салон краси
Перукарня
Масажний кабінет
Стоматологія
ЗооМагазин
ЗооКлініка

Ціна: 200грн.-300грн. м2 + КП
Телефонуйте підберемо.",6000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/orenda-komertsya-m-obuhv-prohdne-mstse-IDQPIdn.html,Опубліковано Сьогодні о 11:25
"Оренда приміщення Мазепи 179Б , 1 поверх 20 м кв","Здається в оренду приміщення 20 м кв
Вул. Мазепи 179 Б ( ринок навпроти Сільпо)
1 поверх, вхід зі сторони двору, поруч працює магазин Копійочка, Рибак, Еліка та ін.",4000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/orenda-primschennya-mazepi-179b-1-poverh-20-m-kv-IDR8qIZ.html,Опубліковано Сьогодні о 11:25
Квартира! із ЗНИЖКОЮ! 62.8 кв.м./2х кімнатна Готова новобудова!,"КВАРТИРИ З ДОКУМЕНТАМИ. КУПУЙ ТА ЖИВИ
При 100% оплаті знижка 5%, розстрочка від забудовника на 6 місяців!
Готове житло з документами!

Для сімей воїнів ЗСУ, ЖК Art Misto оформляє право власності на квартиру за рахунок компанії.
Ви купуєте, а ми оформлюємо для Вас документи!
Економія складає до 60000 грн.

Чому наша квартира 2-кімнатна/62.8 кв.м:
 При покупці, Ви одразу отримуєте право власності на придбане житло
 Система водопостачання компанії Ryvi, каналізаційна система компанії Valrom
 Вся інфраструктура магазини, салони, садки, кінотеатри, школи – поряд у 5-15хв ходьби
 На підлозі — цементно-піщана стяжка на шарі, що шумопоглинає
 Для Стіни ЖК Використовуємо енергозберігаючі матеріали високої якості
 Двері, Вікна - п'ятикамерний профіль REHAU, двокамерний склопакет 32мм Solar Energo
 Ідеальне наповнення квартири дозволяє після покупки відразу приступати до ремонту
 Покрівля будівель оснащена екологічним енерозберігаючим шаром - ППС 200мм, який надійно захистить від вологи
 Закрита територія, відеоспостереження за периметром, немає комерції
 По периметру комплексу розташовані зони для відпочинку
 Фасад декорований зносостійкою камінцевою декоративною штукатуркою та виконаний за системою Церазит

Територія ЖК АРТ МІСТО це:
4 ПОВЕРХИ
10 БУДИНКІВ
ВИСОТА КВАРТИРИ -2,7М
ІНДІВІДУАЛЬНЕ ОПАЛЕННЯ
ЛІФТИ, ПАНДУСИ
НАЗЕМНИЙ ПАРКІНГ

Фундаментальні зміни у будівництві та крихітка безумства у ЖК АРТ МІСТО читається крізь фасад
Ми доводимо, що життя яскраве, через помаранчеві, зелені, жовті деталі на фасаді
На керамічній цеглі — кубізм. Не стримує творчі пориви, а лише чекає майбутніх Пікассо та Малевича
Квартира у новобудові: 2-кімнатна/62.8 кв.м ідеально поєднує в собі сучасність та дизайн

Телефонуйте та записуйтеся на огляд!
Квартира Мрії чекає на Вас!",1852600,Бізнес,https://www.olx.ua/d/uk/obyavlenie/kvartira-z-znizhkoyu-62-8-kv-m-2h-kmnatna-gotova-novobudova-IDR8qPx.html,Опубліковано Сьогодні о 11:28
"Оренда приміщення Мазепи 179Б , 1 поверх 20 м кв","Здається в оренду приміщення 20 м кв
Вул. Мазепи 179 Б ( ринок навпроти Сільпо)
1 поверх, вхід зі сторони двору, поруч працює магазин Копійочка, Рибак, Еліка та ін.",4000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/orenda-primschennya-mazepi-179b-1-poverh-20-m-kv-IDR8qIZ.html,Опубліковано Сьогодні о 11:25
Оренда квартири від власника,"Смарт квартира від власника Без комісії. Завершення ремонтних робіт - липень 2022р.
https://parus-city.lviv.ua/blog/shcho-take-smart-kvartira
Зручна квартира для 1 або 2 осіб. 

Львів, Залізничний район, Рудно. Поруч Зимна вода.

Смарт квартира розрахована на 2 осіб.

Є місце перед будинком для паркування авто, приватне подвіря.
Зони загального користування обладнанні відеоспостереженням.

Квартира знаходиться на 2 поверсі.
Гарна локація. Тихе і затишне місце. Поруч три продуктових магазини, 5 хв пішки до автобусної зупинки.
Відстань до Залізничного вокзалу - 10 км
До центру міста - 14 км, до торгівельного центру Епіцентр - 2 кім.

У квартирі нові меблі, зручний протиалергічний матрас, холодильник з морозильною камерою, мікрохвильова піч, електрочайник, варильна поверхня, бойлер на 300 літрів гарячої води 
Пральна машина, гладильна дошка та праска є у загальному користуванні.
Дата закінчення оздоблювальних робіт та встановлення меблів - липень 2022 року.

Відключення світла - 1 група 
При відсутності електроенергії , є можливість у приготуванні їжі - у будинку є газ та газова плита. А також на подвір'ї є криниця.
Вартість оренди - 9 000 грн./місяць + комунальні послуги: 500 (інтернет, водопостачання, водовідведення, електропостачання)(при проживанні 1 людини та + 300 при проживанні 2 осіб) 
В опалювальний сезон + за опалення згідно лічильника.",9000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartiri-vd-vlasnika-IDR1V0R.html,Опубліковано Сьогодні о 11:32
