title,description,price,status,url,date_public
фигурка,красивая пластиковая фигурка!,Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/figurka-IDGzTrn.html,Опубліковано Сьогодні о 11:17
"Альманах ""Одеська хвиля""","Щорічний альманах ""Одеська хвиля"". Читач знайде тут багато цікавих інтерв'ю, спогадів про минулі репресії і переслідування комуністичним режимом вільної думки і вільного слова.

Книги новые.
Продажа, обмен на что понравится. Олх доставка укр почтой,новой почтой.",Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/almanah-odeska-hvilya-IDQAIGx.html,Опубліковано Сьогодні о 10:23
Туфли мокасины Remonte стелька 27 обмен крупы макароны консервы,"Туфли в идеальном состоянии. На 1 фото цвет на балконе при дневном свете, на последнем в помещении тоже при дневном. Натуральная кожа внутри и верх. Сквозная перфорация. Очень удобная и классная обувь. Стелька 27 см.
Обмен на продукты питания.
Оценочная 900.",Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/tufli-mokasiny-remonte-stelka-27-obmen-krupy-makarony-konservy-IDLDGnx.html,Опубліковано Сьогодні о 07:18
Фотоапарат Canon PowerShot A3000 IS,полностью рабочий и в хорошем состоянии цифровой фотоаппарат есть чехол карточка на 2Гб цена обмена 500 грн нужен електрочайник,Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/fotoaparat-canon-powershot-a3000-is-IDPphBI.html,Опубліковано Сьогодні о 09:21
Чоботи  весна повноміри,"Чоботи оригінальні ,тканина натуральна ,чоботи шились під замовлення колодка зручна",Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/choboti-vesna-povnomri-IDQkD7D.html,Опубліковано Сьогодні о 07:48
юбка для модниц зебра-леопард,"Юбка на утеплителе, шилась под заказ, по бокам атласные присобранные вставки. очень красиво смотрятся на стройных девочках.
Возможен обмен",Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/yubka-dlya-modnits-zebra-leopard-IDNPbqU.html,Опубліковано Сьогодні о 06:21
Фірмагон 120 (Данія),"Не відкривався. Привезли друзі з ЄС, але не знадобився. Придатний до вересня 2023. Пишіть, якщо потрібно, якось домовимось.",Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/frmagon-120-danya-IDQBhBs.html,Опубліковано Сьогодні о 11:50
Обмен - продажа  лейб кожаных брючных.,"Обмен - продажа  лейб кожаных брючных.  Раньше собирал, теперь решил обменять или продать.",Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/obmen-prodazha-leyb-kozhanyh-bryuchnyh-IDOvfri.html,Опубліковано Сьогодні о 08:39
Volkswagen Passat  B5 +,"Пригнанный с Германии,первый владелец. Автомобиль больше чем в достойном состоянии,для своих годиков.Он можно сказать,близко к идеалу. Но надо понимать ,что машина всё же Б/у. Но кто ищет,не крашенную,по технике  в хорошем состоянии и с чистым салоном вам сюда!!!Сейчас у машин,свежей годов, нет такого качества и состояния. Машина не
крашена ,вся в заводской краске и бампера. Стёкла родные! Таких осталось очень мало. В машине не курили. Салон очень чист. Газа нет и не было! В ДТП не была. Хозяин по тех паспорту первый в нашей стране. И в Германии был один хозяин.Продажа с полным переоформлением!!!

Не биток с Америки! Двигатель в идеале, коробка тоже. По ходовой всё поменяно, что требовалось. Резина,,стойки рычаги,сайленблоки подрамника и балки супорта колодки пыльники ГРМ ролики АКБ радиатор насос  датчики кислорода.свечи генератор стартер. Есть Кат.Новые жидкости. Дорогое масло фильтра и многое другое. Машина обслужена доедет куда угодно без проблем. По электронной части,работает всё. Каждая кнопочка. Кандёр идеально работает и печка так же. ЕSP ABS всё работает ручник. Центральный замок-багажник-бак- подъемники секла. Очень дорогой ксенон на ближнем, свет больше чем надо. Дальний хороший галогенки  так же в туманках. В габарит и на заднем Led,лампы линза. В камеру видно хорошо. Акустика Fokal. Мультимедиа с DSP процессором и навигацией. Играет очень чисто и хорошо. ЭКО кожа на сидении + накидки и новые ковры салон и багажник. Продажа не спешная 
от машины не избавляюсь,вложено очень много средств. За эту цену,даже половину денег,не окупиться,цена более чем адекватная. Кто купит,не пожалеет, будет очень доволен!!! Так что прошу свои  цены не предлагать. Цена указана в объявлении. Авто-Площадкам и перекупам  проходим мимо. Космонавты что думают  за такие деньги новый новый автомобиль покупайте в салоне!!! На смотрины не езжу. Если не интересно,не тратите своё и моё время!!! Писать реально по делу, заинтересованным людям.Спасибо за понимание. Торг при осмотре,реальному покупателю ,чисто на бензин!!! Возможен обмен на Passat B 6  с моей доплатой жду предложений реальных адекватных  хлам не предлагать !!!",Обмін,Бізнес,https://www.olx.ua/d/uk/obyavlenie/volkswagen-passat-b5-IDPXlg7.html,Опубліковано Сьогодні о 09:50
Цифрова камера міняю на ваші пропозиції,Цифрова камера міняю на ваші пропозиції або продам 3000грн доставка новою поштою,Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/tsifrova-kamera-mnyayu-na-vash-propozits-IDR8k3p.html,Опубліковано Сьогодні о 09:01
Платье зелёное нарядное,"Платье нарядное, зелёного, бутылочного цвета.
Состояние идеальное.
Размер с или небольшая м 
Смотрите также другие мои объявления",Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/plate-zelenoe-naryadnoe-IDR8pjB.html,Опубліковано Сьогодні о 10:54
HUAWEI Freebuds Lite CM- H1C,HUAWEI Freebuds Lite CM- H1C б/у но в отличном состоянии. Работают отлично. Комплект на фото. Обменяю или продам. Также смотрите другие мои объявления.,Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/huawei-freebuds-lite-cm-h1c-IDNO4Nm.html,Опубліковано Сьогодні о 10:21
Клатч черный новый,"Обменяю новый клатч,ткань атлас, цвет черный. 
Обмен предлагайте, кроме одежды. 
Олх доставка любой почтой",Обмін,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/klatch-chernyy-novyy-IDOyEN7.html,Опубліковано Сьогодні о 07:17
"Обмен Samsung S22 Ultra на IPhone 13 Pro, Pro Max",Телефон в идеале.  Полный комплект.  Постоянно в чехле и плёнке. S-Pen в комплекте. Пишите свои предложения.,Обмін,Бізнес,https://www.olx.ua/d/uk/obyavlenie/obmen-samsung-s22-ultra-na-iphone-13-pro-pro-max-IDR8lcg.html,Опубліковано Сьогодні о 09:19
