title,description,price,status,url,date_public
Шукаю роботу різноробочим або підсобником,"28 років шукаю роботу різноробочим або підсобником з щоденою чи потижневою оплатою, бажанно з проживанням(оскільки не місцевий). працював на кришах скатних та на моноліті.",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/shukayu-robotu-rznorobochim-abo-pdsobnikom-IDR8ppv.html,Опубліковано Сьогодні о 11:07
Плаття Next 3-6 міс,"Стан нового, фірмове плаття, розмір 3-6 міс, ніжно рожеве в квіти, як на останньому фото

Самовивіз Рівне або ставлю мін ціну 30 грн і оформляйте олх доставку через Укрпошту",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/plattya-next-3-6-ms-IDQzbna.html,Опубліковано Сьогодні о 10:34
Кисть для хайлайтера Real T.,"Кисть для хайлайтера, Б/у пару раз, в отличном состоянии. Пересылка только новой почтой",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kist-dlya-haylaytera-real-t-IDR8p1z.html,Опубліковано Сьогодні о 11:02
Котик джентльмен. Бесплатно котята.,Обворожительный мальчик. 6 месяцев. Очень ласковый и добрый. Нереально контактный. Воспитан. Приучен к лоточку. От всех паразитов обработан. Привит . Есть паспорт.,Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kotik-dzhentlmen-besplatno-kotyata-IDPv7Gm.html,Опубліковано Сьогодні о 11:36
Ищу подработку в кофейню 3 дня в неделю,"У меня есть подработка в кофейне выхожу на 2-3 дня в неделю,хочу найти ещё работу с плавающим графиком 
График составляем на неделю 
Опыт работы бариста 4года, без вредных привычек",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/ischu-podrabotku-v-kofeynyu-3-dnya-v-nedelyu-IDR8qpc.html,Опубліковано Сьогодні о 11:27
крихітка чорношубе кошенятко 8м,"віддаю безкоштовно але в дуже хороші руки красиве чорношубе коешнятко хлопчика
вік 8м
він оброблений від паразитів та привчаний до лоточка
 привитий та кастрований
лише в хороші руки та з умовою правильного харчування 
метро Берестейська",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/krihtka-chornoshube-koshenyatko-8m-IDPuDdi.html,Опубліковано Сьогодні о 10:40
"Ваша лучшая подружка кошечка Джуся, кошка 1 год","А Вы знаете, что рыжие кошечки - большая редкость? В основном рыжими бывают котики. А у нас есть такое чудо природы! Милое создание, кошечка Джуся, ей один годик.
Джуся очень аккуратная девочка, приучена к лотку.
Вакцинирована, стерилизованная, обработанная от паразитов .
Кошечке хочется найти того единственного друга, который увидит ее ненавязчивую красоту и оценит ее любовь. Может именно Вас она ждет, не теряя надежду?
Приходите к Джусе, подарите вам обеим годы радости, нежности и душевного тепла!
Больше наших котиков можно увидеть на Gladpet
gladpet.org/pets;organization_id=65",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/vasha-luchshaya-podruzhka-koshechka-dzhusya-koshka-1-god-IDR8qlR.html,Опубліковано Сьогодні о 11:17
Дитячий велосипед бу,Робочий дитячий велосипед. Віддам безкоштовно. Необхідно замінити покриття сидіння та накачати колеса.,Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/dityachiy-velosiped-bu-IDR8pgA.html,Опубліковано Сьогодні о 10:53
Комп'ютерні комплектуючі,"Віддам безкоштовно.
Бажано для людей які можуть передати ВПО, дитсадок, школу.
Комп практично робочий, треба замінити оперативку
Блок живлення у коробці - не робочий.
в іншій коробці всякі кабеля, пара мережевих плат.

Територіально - біля НАУ.
Можу відправити НП, але доставка з отримвача.",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kompyutern-komplektuyuch-IDR8rIw.html,Опубліковано Сьогодні о 11:48
Віддам речі на хлопчика 8 років,Віддам речі на хлопчика 8 років. Речі різні. Кому потрібно пишіть на вайбер. Або дзвоніть.,Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/vddam-rech-na-hlopchika-8-rokv-IDR8qMh.html,Опубліковано Сьогодні о 11:39
Копилка зайчик игрушка,"Копилка зайчик игрушка. Копилка в низу открывается. Состояние хорошее.
Отправлю олх доставкой",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kopilka-zaychik-igrushka-IDR8oVe.html,Опубліковано Сьогодні о 10:46
"Таблетки , New Life","Таблетки краплі New Life
Нові, запечатані. 
Термін придатності в нормі.
За деталями в приват",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/tabletki-new-life-IDQRgC2.html,Опубліковано Сьогодні о 10:34
"Ищу работу, подработку","Живу в городе Запорожье 
Возраст 20 лет 
Высшее незаконченнее образование, факультет социологии",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/ischu-rabotu-podrabotku-IDR8qiV.html,Опубліковано Сьогодні о 11:26
Шкіряні босоніжки,"Шкіряні босоніжки, ідеальний стан, відправляю олх доставкою, дивіться також мої оголошення",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/shkryan-bosonzhki-IDR8pSX.html,Опубліковано Сьогодні о 11:07
Цуценята у відповідальні руки,"Віддаємо у відповідальні руки. Цуценята метиси хаскі, є дівчатка та хлопчики. Бажано у власний  дім. Вік 1,5 місяця. Їдять самостійно, оброблені від паразитів, здорові, грайливі.",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/tsutsenyata-u-vdpovdaln-ruki-IDR5Wjx.html,Опубліковано Сьогодні о 11:16
Цуценята хлопчики і дівчата,"Візьміть дзвіночка. Гавкотять голосно, будуть середнього розміру. Є хлопчик і дівчата.  На початку березня вже домовилась про сререлізацію дівчаток, після операції, два тижні, і зняття швів. 
будуть  готові  їхати до нових господарів. 
Народжені 12-го вересня. 
Їдять все. 
Відвезу по Київській області. Бучанський район. 
Та Житомирська обл. Коростишів і ближні  селища. 
Перше фото дівчинка
Друге фото хлопчик. 
Де гуртом там, там дві руденькі дівчинки, одна повністю руда, друга з білими лапками.",Безкоштовно,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/tsutsenyata-hlopchiki-dvchata-IDQRayj.html,Опубліковано Сьогодні о 11:02
