title,description,price,status,url,date_public
Требуются Швеи ! Женская курточка (одна модель)Район одесской .,"Требуются швеи .
Женская курточка .
Цена высокая .зарплата каждую субботу.
Свет без перебоев , помещение теплое .
Цена высокая .",None,15 000 - 30 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/trebuyutsya-shvei-zhenskaya-kurtochka-odna-modelrayon-odesskoy-IDQVAZt.html,Опубліковано Сьогодні о 11:36
"Продавець-універсал у супермаркет, вул. Дудикіна 28","«THRASH! ТРАШ!» - мережа продовольчих магазинів, яка входить до групи компаній «Фоззі».Запрошуємо до нашого колективу продавця-універсала на часткову зайнятістьДовіряємо тобі наступні задачі:робота із касовим апаратом (навчаємо, не страшно, якщо ніколи не працював);переміщення товару із складу у торг.зал (фізичні навантаження);підтримання порядку в торговому залі;ввічливе обслуговування покупців;здійснення викладки товару на вітрину, відповідність цінників.Працюючи в THRASH! ТРАШ! ти гарантовано отримуєш:офіційну заробітну плату без затримок, яка виплачується 2-чі на місяць;навчання з ""0"", ми не вимагаємо досвід роботи;зручний графік роботи;робота поруч із домом;працевлаштування згідно законодавства з першого робочого дня;оплачувані лікарняні, відпустки;стрімкий кар'єрний розвиток;оплачуване навчання/стажування.",None,Позмінний графік,https://www.olx.ua/uk/obyavlenie/rabota/prodavets-unversal-u-supermarket-vul-dudikna-28-IDQUOpR.html,Опубліковано Сьогодні о 11:10
Адміністратор автомийки,"Автомийка ""Портальна""вул. Леваневського, 130Вимоги:досвідчений користувач ПК;порядність, дисциплінованістьУмови роботи:офіційне працевлаштування;4 дні робочих 2 дні вихідніОбов’язки:зустріч клієнтів,приготування напоїв (кава, чай)робота з ПК;розрахунок клієнтів та ведення каси;телефонні дзвінкиконтроль якості наданих послуг;документообіг.",None,12 000 - 16 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/admnstrator-avtomiyki-IDQTcwF.html,Опубліковано Сьогодні о 10:36
требуется Водитель на Газель,"требуется водитель на Газель, нужен человек что б сам мог обслужить автомобиль, проживающий в ингулецк, центр гор, дзерж, долгинц районах",None,15 000 - 25 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-voditel-na-gazel-IDR8oLf.html,Опубліковано Сьогодні о 10:42
"Продавець-універсал у супермаркет, вул. С. Синенко 73","«THRASH! ТРАШ!» - мережа продовольчих магазинів, яка входить до групи компаній «Фоззі».Запрошуємо до нашого колективу продавця-універсалаДовіряємо тобі наступні задачі:робота із касовим апаратом (навчаємо, не страшно, якщо ніколи не працював);переміщення товару із складу у торг.зал (фізичні навантаження);підтримання порядку в торговому залі;ввічливе обслуговування покупців;здійснення викладки товару на вітрину, відповідність цінників.Працюючи в THRASH! ТРАШ! ти гарантовано отримуєш:офіційну заробітну плату без затримок, яка виплачується 2-чі на місяць;навчання з ""0"", ми не вимагаємо досвід роботи;зручний графік роботи;робота поруч із домом;працевлаштування згідно законодавства з першого робочого дня;оплачувані лікарняні, відпустки;стрімкий кар'єрний розвиток;оплачуване навчання/стажування.",None,12 063 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/prodavets-unversal-u-supermarket-vul-s-sinenko-73-IDQUOSc.html,Опубліковано Сьогодні о 11:21
"Рабочий на завод чипсов LAYS в Израиль, Швецию, Германию, Англию","Требования: разнорабочий

Условия работы: рабочий на упаковку чипсов Lays : (Тель-Авив, Ашкелон, Герцелия) Германия (Берлин, Дортмунд, Дюсельдорф) Швеция (Стокгольм,)

Обязанности: упаковка, маркировка, контроль качества, подготовка товара к отправке. 

Заработная плата от 12 $ 6-ти дневная рабочая неделя. 8−14 часов рабочий день.Все налоги оплачивает работодатель отдельно от заработной платы.Всё, что с выше 8-ми часов оплачивается по 125%.• В субботу оплата 150%

Работодатель обеспечивает жильем БЕСПЛАТНО. БЕСПЛАТНЫЕ ОБЕДЫ.

Квартиры обустроены, все необходимые удобства присутствуют. В комнату заселяют по 2 человека.
Работодатель обеспечивает бесплатный подвоз от места проживания до места работы.

Полный пакет услуг включает:

Контракт с работодателем от 4 месяцев до 3 лет;
Медицинская страховка;
Бесплатный трансфер с аэропорта;
Сопровождение и консультация до полного трудоустройства.
Наши менеджеры встречают Вас в аэропорту Израиля.

Собеседования проводятся в телефонном режиме, собеседования в офисе будут проводиться после окончания карантина.

Ліцензія Міністерства Соціальної Політики України

№ 1082 від 17.02.2017 року",None,2 800 - 3 500 €/за місяць,https://www.olx.ua/uk/obyavlenie/rabota/rabochiy-na-zavod-chipsov-lays-v-izrail-shvetsiyu-germaniyu-angliyu-IDOtWd0.html,Опубліковано Сьогодні о 10:56
На швейное производство закройщик,"на швейное производство сумок требуется закройщик.Опыт работы обязателен. Зарплата высокая. м. Турбоатом, в 2 мин.ходьбы.",None,20 000 - 30 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/na-shveynoe-proizvodstvo-zakroyschik-IDQWu1A.html,Опубліковано Сьогодні о 11:06
Доглядальниця з проживанням  за хворою людино.   Без шкидливих звичок.,"Потрібна доглядальниця з проживанням.В обв'язки входить прибрання,догляд за хворою,готовка їжи,побутові питання.Зарплатня 350  за добу.Без шкидливих звичок.",None,Часткова зайнятість,https://www.olx.ua/uk/obyavlenie/rabota/doglyadalnitsya-z-prozhivannyam-za-hvoroyu-lyudino-bez-shkidlivih-zvichok-IDR8okG.html,Опубліковано Сьогодні о 10:33
Требуется оббивщик,"На производство мягкой мебели требуются оббивщики с опытом работы. З. П выплачивается один раз в неделю
Адрес ул. Пацаева 53",None,20 000 - 40 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-obbivschik-IDPZCKj.html,Опубліковано Сьогодні о 11:00
Ассистент-администратор на гибкий график,"Возьму в частный отдел толковую помощницу по работе с персоналом.  Требования: 
- опыт работы с людьми
- честность, порядочность 
- позитивное отношение 
- быстрая обучаемость

В обязанности будет входить:
- работа с рекламой в интернете;
- работа с базами данных;
- телефонные звонки ;
- подготовка к работе новых сотрудников.
Мы предлагаем работу в дружном коллективе, комфортные условия, постоянное обучение и карьерный рост. А также веселый корпоративный отдых.

ФОП частный коммерческий отдел",None,12 000 - 14 000 грн./за місяць,https://www.olx.ua/uk/obyavlenie/rabota/assistent-administrator-na-gibkiy-grafik-IDQnPh5.html,Опубліковано Сьогодні о 11:29
