title,description,price,status,url,date_public
Mitsubishi Lancer 1.6 Sportback ClearTec,"Летние колеса алюминиевые диски Зимние колеса на алюминиевых дисках климат-контроль Радио с компакт -диском легкий автоматический датчик дождя Многофункциональное рулевое колесо электрические наружные зеркала заднего вида электрические стеклоподъемники система блокировки с дистанционным управлением бортовой компьютер противотуманные огни центральный подлокотник Регулировка высоты сиденья Водитель подушки безопасности/пассажир, голова и стороны ABS, ESP, TC, Servo, Isofix",7400,Бізнес,https://www.olx.ua/d/uk/obyavlenie/mitsubishi-lancer-1-6-sportback-cleartec-IDQlBFA.html,Опубліковано Сьогодні о 11:27
Продам Фольксваген Джетта,"Продам Фольксваген Джетта 2017 г. Авто в отличном состоянии, минимальные повреждения в Америке, детали заменены на новые.",11000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/prodam-folksvagen-dzhetta-IDQALnw.html,Опубліковано Сьогодні о 11:30
Forte FT250GY CBA срочно,"Продам ендуро
Стан мотора 10/10
Стан пластику 8/10
Пробіг 11000 км
Замінені сальникі вилкі , до мотора ніколи не лізли, масло мінялось завжди вчасно 
Передня резина Мішелін але потріскана(під заміну) задня в нормі
Їду дуже бодро та навіть занадто сильно як для китайця
Відповідаю на дзвінки частіше ніж на повідомлення",950,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/forte-ft250gy-cba-srochno-IDPfMcz.html,Опубліковано Сьогодні о 11:33
Надувний човен модельА-200,"Моторний ПВХ човен AVALON A-200 Надувний моторний човен AVALON A-200 здатний на швидке переміщення акваторіями різного типу і є відмінним вибором для риболовлі, полювання та туризму. Висока якість виготовлення, продумана конструкція, застосування високоміцних ПВХ-матеріалів при виготовленні човна AVALON A-200 забезпечують його тривалий та безпечний термін експлуатації.
Доставка безкоштовна",120,Бізнес,https://www.olx.ua/d/uk/obyavlenie/naduvniy-choven-modela-200-IDOt4Vm.html,Опубліковано Сьогодні о 11:24
Продам Ваз 21063,"Авто на повному бойовому ходу, двигун 1.3 карбюратор солекс, стоїть електро-дугова блокіровка, нові, рульова колонка, бензонасос та радіатор пічки, прямоток встановлено систему ""язик дракона"" по ходовій нарікань немає, по кузову є незначні нюанси коробка 4ст. Передачі не вибиває  зимова резина. Переоформлення!",600,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/prodam-vaz-21063-IDQOF2y.html,Опубліковано Сьогодні о 11:31
Продам Опель Астра,"Без пробега по Украине!
Визуально и технически всё отлично!",5200,Бізнес,https://www.olx.ua/d/uk/obyavlenie/prodam-opel-astra-IDR8qLZ.html,Опубліковано Сьогодні о 11:27
Машинапапогоггое,"Машина в доброму стані не гримить  не димить не стукає.Заводиться без проблем їде добре масла фільтра замінені 100км назад ходова зроблена вся електрика працює кондиціонер заправлений працює 
Є довіреність і зв'язок з власником 
Власник у Києві",3350,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/mashinapapogoggoe-IDR8qQe.html,Опубліковано Сьогодні о 11:28
Piaggio skiper 125cc,"Мопед в хорошому стані 
Заводиться їде 
Потужний двигун 
Детальніше по телефоні.",12000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/piaggio-skiper-125cc-IDR8qL5.html,Опубліковано Сьогодні о 11:26
Продам ваз 2109 1992,"Продам ваз на ходу колеса мотор коробка добрі машина доглянута тел.09******29 мотор 1,3 куба коробка 4 ступка",1000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/prodam-vaz-2109-1992-IDLjuau.html,Опубліковано Сьогодні о 11:29
Renault Logan MCV,"Офіційний автомобіль, куплений у 2019 році, з повною сервісною історією у офіційного дилера,
обслуговувався виключно на Renault Arma Motors. Остання ТО на 131т.км.
Один власник.",9999,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/renault-logan-mcv-IDQEJYr.html,Опубліковано Сьогодні о 11:24
