title,description,price,status,url,date_public
Амортизатор задний левый Hunday Tucson и рейлинги на крышу,БУ Рейлинги на крышу Туксон 1500грн  .пружина с амортизатором задним левым 1000 грн .,1000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/amortizator-zadniy-levyy-hunday-tucson-i-reylingi-na-kryshu-IDLmJal.html?sd=1,Опубліковано Сьогодні о 11:33
"Карта дверная Битл, VW Beetle, Beetle","Карта дверная Битл, VW Beetle, Beetle 11""-19"" год выпуска. 
Материал обивки - ткань. 
Цвет верха - ""мокрый асфальт"" (темно-серый).",2000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/karta-dvernaya-bitl-vw-beetle-beetle-IDOeGNJ.html?sd=1,Опубліковано Сьогодні о 11:32
Стартер Skoda Favorit 1.3 | Skoda Felicia 1.3-1.6,"Skoda Favorit 1.3 1990-1997 год.
Skoda Felicia 1.3-1.6 1994-2002 год.

Каталожный номер: (443115141310) 

Отправка в день заказа Новой почтой или самовывоз.
Оплата при получении.
Гарантия на установку.",950,Бізнес,https://www.olx.ua/d/uk/obyavlenie/starter-skoda-favorit-1-3-skoda-felicia-1-3-1-6-IDONeIT.html?sd=1,Опубліковано Сьогодні о 11:32
235 65 16 c зимова гума,"Продам комплект гуми 235 65 16c 
Continental
Була порізана ножем (кожне колесо) надійно відремонтовані кормовими пластирами з вулканізацією.
Пара має кращий протектор 7 мм,пара більш стерта 5 мм
За комплект 4400",1 100 грн. / за 1 шт.,Бізнес,https://www.olx.ua/d/uk/obyavlenie/235-65-16-c-zimova-guma-IDQxc1w.html?sd=1,Опубліковано Сьогодні о 11:32
Промежутка МТЗ 80 проміжутка МТЗ 892 корпус зчеплення МТЗ-82 Googleмтз,"Промежутка мтз нов обр. На мтз 80 та серію.
Корпус ціна 800дол
У зборі ціна. 1000дол
Новий корпус ціна 1300дол",800,Бізнес,https://www.olx.ua/d/uk/obyavlenie/promezhutka-mtz-80-promzhutka-mtz-892-korpus-zcheplennya-mtz-82-googlemtz-IDQsdFZ.html,Опубліковано Сьогодні о 11:33
Лобовое стекло FUYAO Mazda 3 (2003-2009) Мазда Автостекло Боковое,"Мы готовы ответить на все Выши вопросы в рабочее время
Пн.-Пт. 9:00 - 18:00 Сб. 9:00 - 16:00
Mazda 3 (Хетчбек, Седан) (2003-2009) лобовое с меткой для датчиков, с молдингом или фиксатором, FUYAO
Продажа и Установка автостекла в городе Киев и Киевской области.
Ремонт автостекла в городе Киев.
Выезд к клиенту.
Замена стекла на автобусе,грузовике или легковом автомобиле-это не проблема.Звоните нам и мы с радостью поможем.
Быстро,а главное качественно и по приемлемой цене.
Опытные менеджера помогут подобрать нужное Вам стекло.
Гарантия на работу бессрочная.
наличие и актуальность цен уточняйте у менеджера",3100,Бізнес,https://www.olx.ua/d/uk/obyavlenie/lobovoe-steklo-fuyao-mazda-3-2003-2009-mazda-avtosteklo-bokovoe-IDHNSgl.html,Опубліковано Сьогодні о 11:34
Зарядное устройство к SIEMENS.,"Зарядное устройство ко всем Сименс ( шнур питания ). 250V, 0,3 A.  50/60Hz.
Длина шнура 1,8 м.( сейчас таких уже нет).
Вопросы, звоните, домовимось.
Встреча Кременчуг.  Отправка почтой, и  олх- доставка.",135,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/zaryadnoe-ustroystvo-k-siemens-IDR8qWy.html,Опубліковано Сьогодні о 11:30
Д240 запчастини МТЗ 80 центрифуга фільтр масляний насос двигатель МТЗ,"Центрифуга в хорошому стані
100 відсотків робоча

Торг на каву.
Відправка наложкою
Пакую сам",1000,Бізнес,https://www.olx.ua/d/uk/obyavlenie/d240-zapchastini-mtz-80-tsentrifuga-fltr-maslyaniy-nasos-dvigatel-mtz-IDQr1K9.html?sd=1,Опубліковано Сьогодні о 11:33
Лобовое стекло FUYAO Mazda 3 (2003-2009) Мазда Автостекло Боковое,"Мы готовы ответить на все Выши вопросы в рабочее время
Пн.-Пт. 9:00 - 18:00 Сб. 9:00 - 16:00
Mazda 3 (Хетчбек, Седан) (2003-2009) лобовое с меткой для датчиков, с молдингом или фиксатором, FUYAO
Продажа и Установка автостекла в городе Киев и Киевской области.
Ремонт автостекла в городе Киев.
Выезд к клиенту.
Замена стекла на автобусе,грузовике или легковом автомобиле-это не проблема.Звоните нам и мы с радостью поможем.
Быстро,а главное качественно и по приемлемой цене.
Опытные менеджера помогут подобрать нужное Вам стекло.
Гарантия на работу бессрочная.
наличие и актуальность цен уточняйте у менеджера",3100,Бізнес,https://www.olx.ua/d/uk/obyavlenie/lobovoe-steklo-fuyao-mazda-3-2003-2009-mazda-avtosteklo-bokovoe-IDHNSgl.html,Опубліковано Сьогодні о 11:34
Подшипник 312,Новые подшипники 312 цена одного 150грн. Отправлю любой почтой,150,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/podshipnik-312-IDR8r8s.html?sd=1,Опубліковано Сьогодні о 11:34
