title,description,price,status,url,date_public
Гарненькі цуценята пуделя 3 міс.,"Готові до переїзду два хлопчика пудель, без плям та браку ,все в них ідеально .Дуже хороші по характеру ,дружити вміють з усіма ,вже можна гуляти на повідку .Більше інформації по тел або пришлемо на вайбер .",500,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/garnenk-tsutsenyata-pudelya-3-ms-IDR8rpb.html,Опубліковано Сьогодні о 11:41
"Акция! Корм для кошек Brit Premium by Nature Indoor Chicken, 1,5 кг","Полноценный корм премиум-класса для кошек, живущих в помещении. Вкусный и аппетитный корм с курицей и натуральными ценными ингредиентами для ежедневного здорового питания вашего любимца.



Особенности корма:

• Снижает образование и облегчает выведение комочков шерсти

• Оптимальный ph мочи обеспечивает здоровье мочевого тракта

• С мякотью яблока – натуральным источником клетчатки

• С розмарином, гвоздикой, куркумой и цитрусовыми – натуральными антиоксидантами

• С пребиотиками для деликатного и здорового пищеварения и отличного усвоения всех компонентов.

• БЕЗ пшеницы БЕЗ сои БЕЗ КУКУРУЗЫ



Состав: курица дегидрированная 38%, рис, куриный жир, горох, сушеная яблочная мякоть, псиллиум, пивные дрожжи, гидролизованная куриная печень 2%, лососевое масло 1%, сушеный шпинат 0,5%, маннанолигосахариды (150 мг/кг), фруктоолигосахариды (120 мг/кг), юкка Шидигера (80 мг/кг), сушеный розмарин (11 мг/кг), сушенная гвоздика (11 мг/кг), сушеные цитрусовые (11 мг/кг), сушеная куркума (11 мг/кг).

Аналитические компоненты: сырой белок 37,0%, сырой жир 16,0%, сырая клетчатка 4,5%, сырая зола 7,3%, влажность 10,0%, кальций 1,6%, фосфор 0,8%, натрий 0,3%, магний 0,05%.

Питательный состав: витамин (3a672a) 20000 МЕ, витамин D3 (3a671) 850 МЕ, витамин E (3a700) 600 мг, витамин C (3a312) 250 мг, таурин (3a370) 2150 мг, биотин (3a880) 1,7 мг, цинк (3b606) 140 мг, марганец (3b504) 50 мг, железо (3b106) 50 мг, медь (3b406) 10 мг, йод (3b201) 3,5 мг, селен (3b810) 0,16 мг, L-метионин (3c305) 4000 мг. Омега-3: 0,28%, Омега -6: 2,1%.

Энергетическая ценность: 3790 ккал/кг.



Рекомендации по кормлению: в зависимости от предпочтений питомца корм можно давать сухим, смоченным водой или в сочетании с влажным кормом Brit Premium. Рекомендуемый суточный размер порции указан в таблице кормления. Давая новый корм впервые, смешивайте его в течение 3–5 дней с предыдущим кормом, постепенно увеличивая соотношение Brit Premium. Не забывайте давать своему любимцу свежую питьевую воду.",180,Бізнес,https://www.olx.ua/d/uk/obyavlenie/aktsiya-korm-dlya-koshek-brit-premium-by-nature-indoor-chicken-1-5-kg-IDOHYet.html?sd=1,Опубліковано Сьогодні о 11:31
Catsan гигиенический наполнитель,Продам кошачий песок .Есть 3 упаковки.Цена за 1 упаковку-300 гривен.При покупке трех сразу- по 280.,300,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/catsan-gigienicheskiy-napolnitel-IDR8r4v.html?sd=1,Опубліковано Сьогодні о 11:33
"Колектор доїльного апарату Меласті, доильный аппарат","Ціна на колектор Майга пластиковий з клапаном140мл  180грн
Колектор Майга алюмінієвий глибокий 350грн
Колектор нержавіючий ремонтний 450грн
Колектор попарний Меласті 160мл 450грн
Колектор попарний Меласті 200 мл 500грн
Колектор попарний Меласті 240мл 650грн
Колектор попарний Меласті 340мл 750грн
Колектора нержавіючі попарні 240-340мл 750грн
Запчастини та комлектуючі до всіх доїльних апаратів та молокопроводів турецького виробника Меласті, Моя Мілка так і Українських виробників.
Запчасини до доїльний апаратів Меласті, Моя Мілка  ""Доярочка"", ""Бурьонка 1,2"",""Берізка 1,2"",""Велес 7,10"",""АІД-1"", ""АІД-1Р""таі нші:
Вакуумні насоси сухого типу різних видів
Доїльний бідон в комплекті та пустий
Підвісна частина
Пауки різних комплектацій
Пульсатор двотактний та пульсатор попарного доїння;
Колектор з нержавіючою або пластмасовою основою;
Кришка колектора;
Дійкова гума; гумові прокладки та мембрани;
Пластини графітові до вакуумних насосів;
Шланги ПВХ для вакууму та молока; тройнік та коліно на шланги; 
Стакани доїльні із нержавійки або комбіновані нержавійка з пласмасовими оголовками; 
Зажими дійкової гуми , пластикові або металеві ;
Вакууметр; Вакуумрегулятор. та багато іншого
РЕМОНТ ДОЇЛЬНИХ АПАРАТІВ. 

Запчастини відправляємо по Україні:
""Новою поштою"", ""Інтаймом"", ""Делівері"".
Оплата наложеним платижем.

Дивіться другі мої оголошення!",420,Бізнес,https://www.olx.ua/d/uk/obyavlenie/kolektor-dolnogo-aparatu-melast-doilnyy-apparat-IDGvAAw.html?sd=1,Опубліковано Сьогодні о 11:36
Лиловый красавчик,"Родители на фото.Зеленоглазый красавец,привит дважды,паспорт имеется.Полностью здоровый,активный и очень умный.Мальчик-миник,ну супер короткий и компактный с маленькими ушками,зелеными глазами.Приучен к пеленке.",650,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/lilovyy-krasavchik-IDR8qLu.html,Опубліковано Сьогодні о 11:26
"Кролики, каліфорнійські кролі","Продаються молоді кролиці каліфорнійськоі породи, вік 9 місяців. Ціна 500 грн за одну. Можливий торг. Деталі по телефону.",500,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/kroliki-kalfornysk-krol-IDQPIiq.html,Опубліковано Сьогодні о 11:29
"Корм для собак Brit Care Mini Grain Free Adult, 7 кг","Brit Care Mini Grain Free Adult - сухой беззерновой гипоаллергенный корм для взрослых собак миниатюрных пород. Полнорационный корм для собак.



Состав: мука из мяса ягненка (30%), белок из свежей ягнятины (15%), желтый горох, куриный жир (консервирован токоферолами), нут, гречиха, сушеное яблоко, льняное семя (3%), рыбий жир из лосося (2%), пивные дрожжи, водоросли (0,5%, Ascophyllum nodosum), гидролизованные панцири ракообразных (источник глюкозамина, 260 мг/кг), голубика (230 мг/кг, источник полифенолов 70 мг/кг и флавоноидов 30 мг/кг), хрящевой экстракт (источник хондроитина, 160 мг/кг), маннан-олигосахариды (150 мг/кг), травы и фрукты (розмарин, цитрусовые, куркума, 150 мг/кг), фрукто-олигосахариды (100 мг/кг), юкка (Yucca schidigera) (100 мг/кг), инулин (90 мг/кг), молочный чертополох (75 мг/кг), облепиха крушинная (75 мг/кг), ромашка (30 мг/кг), гвоздика (30 мг/кг), шалфей (25 мг/кг).



Гарантированный анализ: сырой белок 29,0%, сырой жир 18,0%, влага 10,0%, сырая зола 8,4%, сырая клетчатка 2,5%, кальций 1,6%, фосфор 1,3%, Омега-3 жирные кислоты 1,1%, Омега-6 жирные кислоты 2,3%.



Питательные добавки на 1 кг: витамин А (3a672a) 20 000 ME; витамин D3 (E671) 1 500 ME; витамин E (α-токоферол) (3a700) 500 мг; витамин С (3a312) 300 мг; холинхлорид (3a890) 700 мг; таурин (3a370) 200 мг; биотин (3a880) 3 мг; витамин В1 (3a821) 1 мг; витамин В2 4 мг; ниацинамид (3a315) 12 мг; кальция D-пантотенат (3a841) 10 мг; витамин В6 (3a831) 1 мг; фолиевая кислота (3a316) 0,5 мг; витамин В12 0,04 мг; хелат цинка гидрата аминокислот 100 мг; моногидрат сульфата железа 80 мг; оксид марганца 40 мг; йодид калия 0,75 мг; хелат меди и аминокислот n-гидрат 15 мг; органическая форма селена, производное от жизнедеятельности дрожжей Saccharomyces Cerevisiae CNCM I-3060 0,2 мг.

Энергетическая ценность: 3 880 ккал/кг.",1635,Бізнес,https://www.olx.ua/d/uk/obyavlenie/korm-dlya-sobak-brit-care-mini-grain-free-adult-7-kg-IDMpaOk.html?sd=1,Опубліковано Сьогодні о 11:27
Домик для   кошки,"Новый домик для кошки, ни разу не спала, даже не захотела залазить, размер Л, самый большой",500,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/domik-dlya-koshki-IDPZbWd.html?sd=1,Опубліковано Сьогодні о 11:30
Чудесные мальчишки супер мини,"Шикарные малыши померанцевого шпица, море густой шерсти, без недостатков, очень маленький по размеру будет до 1,2-1,5. Прикус идеальный. Проглистованы и привиты полностью,имеют ветпаспорт и чип. Находимся в Харькове, есть доставка, расчет при получении малыша.
Большой выбор щенков есть.
Ссылка на инстаграм https://instagram.com/hausetavila?igshid=1f8ouu6u3v149",15000,Приватна особа,https://www.olx.ua/d/uk/obyavlenie/chudesnye-malchishki-super-mini-IDR8rbB.html,Опубліковано Сьогодні о 11:36
Шотландський котик,"Шотландський котик від титулованих батьків. Дуже ніжний, вакцинований. Можна в любимки або розведення (ціна інша). На всі питання відповім по телефону.",7500,Бізнес,https://www.olx.ua/d/uk/obyavlenie/shotlandskiy-kotik-IDQPIaW.html,Опубліковано Сьогодні о 11:25
